"gene_id","RNA_Hannuus_domesticated_Argentina1","RNA_Hannuus_domesticated_Argentina2","RNA_Hannuus_domesticated_Georgia1","RNA_Hannuus_domesticated_Vancouver1","RNA_Hannuus_domesticated_Vancouver14","RNA_Hannuus_domesticated_Vancouver15","RNA_Hannuus_domesticated_Vancouver16","RNA_Hannuus_domesticated_Vancouver2","RNA_Hannuus_domesticated_Vancouver3","RNA_Hannuus_domesticated_Vancouver4","total_counts_mean"
"LOC110864414",0,0,0,0,0,0,0,0,0,0,0
"LOC110865220",120,143,25,3,5,5,5,11,7,6,33
"LOC110871894",18.122,25.523,2,0,0,0,1,3,0,1,5.0645
"LOC110873283",392,669,55,11,1,0,2,6,8,2,114.6
"LOC110873284",660,854.992,35,29,3,5,9,26,38,27,168.6992
"LOC110874622",1,0,2,0,0,1,1,0,1,0,0.6
"LOC110886610",0,0,62.669,6.845,4.77,3.119,6.716,7.051,9.409,9.418,10.9997
"LOC110886611",0,0,5.325,0,0,3,0,0,2,0,1.0325
"LOC110894842",362,600,236,117,27,36,20,100,105,62,166.5
"LOC110895497",2353,2179,932,383,106,210,118,291,405,327,730.4
"LOC110909088",256,243,713,72,68,44,64,42,69,44,161.5
"LOC110915577",6,16,1,23,12,24,23,13,11,14,14.3
"LOC110915593",159,202,28,8,5,8,3,12,11,7,44.3
"LOC110916735",2490,3219,3240,1137,316,618,253,942,962,797,1397.4
"LOC110922150",4,13,21,18,3,9,7,22,28,25,15
"LOC110926479",1727,1539,549,308,94,128,86,224,255,209,511.9
"LOC110941772",0,16,28,7,13,4,11,8,6,8,10.1
