"gene_id","mean","median","sd","min","max","total_counts"
"LOC110864414",0,0,0,0,0,0
"LOC110865220",33,7,49.8738408386601,3,143,363
"LOC110871894",5.0645,1,8.59266437433698,0,25.523,55.7095
"LOC110873283",114.6,8,217.519746230084,0,669,1260.6
"LOC110873284",168.6992,29,297.833362680812,3,854.992,1855.6912
"LOC110873825",16866.9766,15717,4426.79679349844,12144,27196,185536.7426
"LOC110874622",0.6,0.6,0.66332495807108,0,2,6.6
"LOC110878709",1424.4039,1261.925,730.575551526117,475.24,2976.832,15668.4429
"LOC110886610",10.9997,6.845,17.5181446166539,0,62.669,120.9967
"LOC110886611",1.0325,0,1.75200064212317,0,5.325,11.3575
"LOC110894842",166.5,105,176.210243743092,20,600,1831.5
"LOC110895497",730.4,383,799.375781469516,106,2353,8034.4
"LOC110900233",1253.3516,1144.859,773.389066539242,443.501,3099.649,13786.8676
"LOC110900237",1043.1154,667.202,957.223847528487,99.597,3218.218,11474.2694
"LOC110909088",161.5,69,199.106127479794,42,713,1776.5
"LOC110915577",14.3,14,7.15611626512594,1,24,157.3
"LOC110915593",44.3,11,69.0797365368456,3,202,487.3
"LOC110916735",1397.4,962,1087.15078990911,253,3240,15371.4
"LOC110922150",15,15,8.55569985448298,3,28,165
"LOC110926479",511.9,255,576.055283805296,86,1727,5630.9
"LOC110941772",10.1,8,7.34098086089318,0,28,111.1
"LOC110941795",32803.7234,32803.7234,12265.1692079224,12032,48898,360840.9574
