"gene_id","mean","median","sd","min","max","total_counts"
"LOC110864414",22.4,22.4,9.84073168011404,11,39,246.4
"LOC110865220",109,97,58.7452125708981,34,212,1199
"LOC110871894",30.8606,17.809,38.3981503804545,0,129.193,339.4666
"LOC110873283",610.8,610.8,611.154939438437,7,1855,6718.8
"LOC110873284",674.5753,610.997,675.038867467948,8,1873.996,7420.3283
"LOC110873825",5354.8001,4951,2307.26412472437,1753,11127,58902.8011
"LOC110874622",22.0017,11,21.4788786022455,0,72,242.0187
"LOC110878709",493.3282,513.449,315.424659267407,32,1001,5426.6102
"LOC110886610",46.3713,42.429,19.0524359127645,18.792,77.327,510.0843
"LOC110886611",10.5181,10.5181,6.60648115792363,3.001,24.821,115.6991
"LOC110894842",843.6,843.6,467.884643902747,150,1607,9279.6
"LOC110895497",3511.6,2859,2964.86445558646,421,11257,38627.6
"LOC110900233",193.2561,76.696,319.60604609971,45.554,1141.915,2125.8171
"LOC110900237",190.631,108.604,226.240370436401,35.485,822.023,2096.941
"LOC110909088",479.8,479.8,348.366416291812,36,1207,5277.8
"LOC110915577",157.3,128,138.843112900857,23,497,1730.3
"LOC110915593",237.2,234,183.352011169771,20,648,2609.2
"LOC110916735",5009.2,5009.2,2886.4369662267,561,9785,55101.2
"LOC110922150",71,71,33.2625916007758,24,158,781
"LOC110926479",1119.3647,1014.111,785.731491576614,124,2575.997,12313.0117
"LOC110941772",140.9,133,145.151265926274,4,537,1549.9
"LOC110941795",13445.0999,13445.0999,4034.76526958138,7091,22107,147896.0989
