"gene_id","RNA_Hannuus_wild_California1","RNA_Hannuus_wild_California2","RNA_Hannuus_wild_California3","RNA_Hannuus_wild_California4","RNA_Hannuus_wild_Minneapolis1","RNA_Hannuus_wild_Minneapolis2","RNA_Hannuus_wild_Minneapolis3","RNA_Hannuus_wild_Montana","RNA_Hannuus_wild_NewJersey","RNA_Hannuus_wild_Oklahoma","total_counts_mean"
"LOC110864414",24,39,35,31,28,11,11,15,16,14,22.4
"LOC110865220",212,93,97,67,156,107,204,66,34,54,109
"LOC110871894",129.193,64.161,35.841,1,12.999,40.809,3,17.809,0,3.794,30.8606
"LOC110873283",1855,618,211,178,864,925,1401,8,41,7,610.8
"LOC110873284",1873.996,610.997,283.76,198,927,944,1830,19,51,8,674.5753
"LOC110874622",0,5.017,72,8,43,35,29,11,9,8,22.0017
"LOC110886610",77.327,29.644,28.799,39.637,63.035,63.978,18.792,32.049,42.429,68.023,46.3713
"LOC110886611",24.821,5.039,11,6.802,3.001,6,3.977,15.228,12.24,17.073,10.5181
"LOC110894842",1332,940,759,493,1607,1064,1299,609,183,150,843.6
"LOC110895497",11257,3820,5822,2999,2829,2255,2294,2859,421,560,3511.6
"LOC110909088",1207,286,871,399,560,602,590,164,36,83,479.8
"LOC110915577",200,122,128,274,39,36,52,202,23,497,157.3
"LOC110915593",648,307,234,148,179,307,415,93,20,21,237.2
"LOC110916735",9785,4292,6956,3801,6008,6232,8379,3355,561,723,5009.2
"LOC110922150",24,47,77,81,71,55,78,158,61,58,71
"LOC110926479",2575.997,688.794,1014.111,741.755,1429,2360,1314.995,798.041,124,146.954,1119.3647
"LOC110941772",537,164,133,52,176,51,127,154,4,11,140.9
