"gene_name","regulation"
"LOC110864414","Upregulated"
"LOC110865220","Upregulated"
"LOC110871894","Upregulated"
"LOC110873283","Upregulated"
"LOC110873284","Upregulated"
"LOC110873825","Downregulated"
"LOC110874622","Upregulated"
"LOC110878709","Downregulated"
"LOC110886610","Upregulated"
"LOC110886611","Upregulated"
"LOC110894842","Upregulated"
"LOC110895497","Upregulated"
"LOC110900233","Downregulated"
"LOC110900237","Downregulated"
"LOC110909088","Upregulated"
"LOC110915577","Upregulated"
"LOC110915593","Upregulated"
"LOC110916735","Upregulated"
"LOC110922150","Upregulated"
"LOC110926479","Upregulated"
"LOC110941772","Upregulated"
"LOC110941795","Downregulated"
