STATION,Month,Day,Year,LATITUDE,LONGITUDE,ELEVATION,PRCP,TMAX,TMIN
USW00013873,1,1,14,33.94773,-83.32736,239,0,89,6
USW00013873,1,2,14,33.94773,-83.32736,239,81,100,-27
USW00013873,1,3,14,33.94773,-83.32736,239,0,39,-60
USW00013873,1,4,14,33.94773,-83.32736,239,0,22,-60
USW00013873,1,5,14,33.94773,-83.32736,239,8,72,6
USW00013873,1,6,14,33.94773,-83.32736,239,13,89,-110
USW00013873,1,7,14,33.94773,-83.32736,239,0,-16,-138
USW00013873,1,8,14,33.94773,-83.32736,239,0,83,-99
USW00013873,1,9,14,33.94773,-83.32736,239,0,94,-38
USW00013873,1,10,14,33.94773,-83.32736,239,292,83,33
USW00013873,1,11,14,33.94773,-83.32736,239,699,161,72
USW00013873,1,12,14,33.94773,-83.32736,239,0,150,28
USW00013873,1,13,14,33.94773,-83.32736,239,41,144,-10
USW00013873,1,14,14,33.94773,-83.32736,239,25,156,50
USW00013873,1,15,14,33.94773,-83.32736,239,0,106,6
USW00013873,1,16,14,33.94773,-83.32736,239,0,100,-43
USW00013873,1,17,14,33.94773,-83.32736,239,0,78,-5
USW00013873,1,18,14,33.94773,-83.32736,239,0,67,-32
USW00013873,1,19,14,33.94773,-83.32736,239,0,128,0
USW00013873,1,20,14,33.94773,-83.32736,239,0,194,0
USW00013873,1,21,14,33.94773,-83.32736,239,0,128,-38
USW00013873,1,22,14,33.94773,-83.32736,239,0,33,-77
USW00013873,1,23,14,33.94773,-83.32736,239,0,56,-66
USW00013873,1,24,14,33.94773,-83.32736,239,0,11,-110
USW00013873,1,25,14,33.94773,-83.32736,239,0,89,-88
USW00013873,1,26,14,33.94773,-83.32736,239,0,139,-27
USW00013873,1,27,14,33.94773,-83.32736,239,0,172,33
USW00013873,1,28,14,33.94773,-83.32736,239,30,33,-32
USW00013873,1,29,14,33.94773,-83.32736,239,0,0,-71
USW00013873,1,30,14,33.94773,-83.32736,239,0,50,-105
USW00013873,1,31,14,33.94773,-83.32736,239,0,144,-77
USW00013873,2,1,14,33.94773,-83.32736,239,0,139,-27
USW00013873,2,2,14,33.94773,-83.32736,239,0,178,50
USW00013873,2,3,14,33.94773,-83.32736,239,51,194,56
USW00013873,2,4,14,33.94773,-83.32736,239,10,78,33
USW00013873,2,5,14,33.94773,-83.32736,239,99,133,17
USW00013873,2,6,14,33.94773,-83.32736,239,0,72,-10
USW00013873,2,7,14,33.94773,-83.32736,239,0,122,-16
USW00013873,2,8,14,33.94773,-83.32736,239,0,161,28
USW00013873,2,9,14,33.94773,-83.32736,239,0,161,33
USW00013873,2,10,14,33.94773,-83.32736,239,0,106,28
USW00013873,2,11,14,33.94773,-83.32736,239,137,50,6
USW00013873,2,12,14,33.94773,-83.32736,239,315,6,-27
USW00013873,2,13,14,33.94773,-83.32736,239,13,89,-21
USW00013873,2,14,14,33.94773,-83.32736,239,23,128,0
USW00013873,2,15,14,33.94773,-83.32736,239,33,100,17
USW00013873,2,16,14,33.94773,-83.32736,239,0,167,17
USW00013873,2,17,14,33.94773,-83.32736,239,0,167,-5
USW00013873,2,18,14,33.94773,-83.32736,239,3,222,28
USW00013873,2,19,14,33.94773,-83.32736,239,0,222,122
USW00013873,2,20,14,33.94773,-83.32736,239,0,250,122
USW00013873,2,21,14,33.94773,-83.32736,239,305,178,72
USW00013873,2,22,14,33.94773,-83.32736,239,0,172,6
USW00013873,2,23,14,33.94773,-83.32736,239,0,211,17
USW00013873,2,24,14,33.94773,-83.32736,239,0,217,78
USW00013873,2,25,14,33.94773,-83.32736,239,5,183,33
USW00013873,2,26,14,33.94773,-83.32736,239,13,100,11
USW00013873,2,27,14,33.94773,-83.32736,239,0,117,-27
USW00013873,2,28,14,33.94773,-83.32736,239,0,128,-27
USW00013873,3,1,14,33.94773,-83.32736,239,0,178,44
USW00013873,3,2,14,33.94773,-83.32736,239,0,239,56
USW00013873,3,3,14,33.94773,-83.32736,239,28,172,28
USW00013873,3,4,14,33.94773,-83.32736,239,5,50,6
USW00013873,3,5,14,33.94773,-83.32736,239,10,139,0
USW00013873,3,6,14,33.94773,-83.32736,239,157,50,11
USW00013873,3,7,14,33.94773,-83.32736,239,99,144,22
USW00013873,3,8,14,33.94773,-83.32736,239,0,217,22
USW00013873,3,9,14,33.94773,-83.32736,239,0,233,89
USW00013873,3,10,14,33.94773,-83.32736,239,0,233,72
USW00013873,3,11,14,33.94773,-83.32736,239,0,267,78
USW00013873,3,12,14,33.94773,-83.32736,239,102,228,50
