STATION,Month,Day,Year,LATITUDE,LONGITUDE,ELEVATION,PRCP,TMAX,TMIN,GHI
USW00013873,1,1,98,33.94773,-83.32736,239,0,78,-72,150.88
USW00013873,1,2,98,33.94773,-83.32736,239,0,139,-56,149.12
USW00013873,1,3,98,33.94773,-83.32736,239,0,183,0,144.67
USW00013873,1,4,98,33.94773,-83.32736,239,0,200,67,97.54
USW00013873,1,5,98,33.94773,-83.32736,239,10,189,117,46.71
USW00013873,1,6,98,33.94773,-83.32736,239,13,194,161,49.71
USW00013873,1,7,98,33.94773,-83.32736,239,429,211,178,30.79
USW00013873,1,8,98,33.94773,-83.32736,239,20,206,111,95.75
USW00013873,1,9,98,33.94773,-83.32736,239,0,111,44,23.92
USW00013873,1,10,98,33.94773,-83.32736,239,0,139,-6,156.71
USW00013873,1,11,98,33.94773,-83.32736,239,0,183,6,135.5
USW00013873,1,12,98,33.94773,-83.32736,239,0,150,33,81.88
USW00013873,1,13,98,33.94773,-83.32736,239,30,156,89,94.33
USW00013873,1,14,98,33.94773,-83.32736,239,91,100,28,53.96
USW00013873,1,15,98,33.94773,-83.32736,239,127,44,17,25.71
USW00013873,1,16,98,33.94773,-83.32736,239,91,83,44,29.92
USW00013873,1,17,98,33.94773,-83.32736,239,0,106,17,120.21
USW00013873,1,18,98,33.94773,-83.32736,239,53,128,-6,137.29
USW00013873,1,19,98,33.94773,-83.32736,239,122,111,17,98.29
USW00013873,1,20,98,33.94773,-83.32736,239,0,100,-17,163.92
USW00013873,1,21,98,33.94773,-83.32736,239,0,106,0,136
USW00013873,1,22,98,33.94773,-83.32736,239,191,72,50,29.54
USW00013873,1,23,98,33.94773,-83.32736,239,5,94,61,41.04
USW00013873,1,24,98,33.94773,-83.32736,239,0,94,17,169.88
USW00013873,1,25,98,33.94773,-83.32736,239,0,106,-22,151.46
USW00013873,1,26,98,33.94773,-83.32736,239,0,122,-28,173.58
USW00013873,1,27,98,33.94773,-83.32736,239,307,83,33,54.42
USW00013873,1,28,98,33.94773,-83.32736,239,0,150,33,177.79
USW00013873,1,29,98,33.94773,-83.32736,239,0,167,6,139.42
USW00013873,1,30,98,33.94773,-83.32736,239,0,150,39,180.83
USW00013873,1,31,98,33.94773,-83.32736,239,0,111,-22,185.29
USW00013873,2,1,98,33.94773,-83.32736,239,0,117,-17,177
USW00013873,2,2,98,33.94773,-83.32736,239,91,78,50,55.88
USW00013873,2,3,98,33.94773,-83.32736,239,599,83,61,34.46
USW00013873,2,4,98,33.94773,-83.32736,239,460,67,22,76.54
USW00013873,2,5,98,33.94773,-83.32736,239,0,78,6,167.83
USW00013873,2,6,98,33.94773,-83.32736,239,0,117,-11,144.62
USW00013873,2,7,98,33.94773,-83.32736,239,0,89,61,59.12
USW00013873,2,8,98,33.94773,-83.32736,239,0,122,50,98.75
USW00013873,2,9,98,33.94773,-83.32736,239,0,133,39,145.71
USW00013873,2,10,98,33.94773,-83.32736,239,0,161,0,188.88
USW00013873,2,11,98,33.94773,-83.32736,239,38,172,44,68.75
USW00013873,2,12,98,33.94773,-83.32736,239,0,128,50,149.79
USW00013873,2,13,98,33.94773,-83.32736,239,0,139,22,167.75
USW00013873,2,14,98,33.94773,-83.32736,239,0,133,11,190.96
USW00013873,2,15,98,33.94773,-83.32736,239,3,117,0,153.54
