STATION,Month,Day,Year,LATITUDE,LONGITUDE,ELEVATION,PRCP,TMAX,TMIN
USW00014922,1,1,14,44.88523,-93.23133,254.5,0,-171,-221
USW00014922,1,2,14,44.88523,-93.23133,254.5,0,-155,-232
USW00014922,1,3,14,44.88523,-93.23133,254.5,30,-16,-232
USW00014922,1,4,14,44.88523,-93.23133,254.5,5,17,-188
USW00014922,1,5,14,44.88523,-93.23133,254.5,0,-188,-288
USW00014922,1,6,14,44.88523,-93.23133,254.5,0,-243,-305
USW00014922,1,7,14,44.88523,-93.23133,254.5,0,-149,-260
USW00014922,1,8,14,44.88523,-93.23133,254.5,0,-155,-238
USW00014922,1,9,14,44.88523,-93.23133,254.5,0,-66,-238
USW00014922,1,10,14,44.88523,-93.23133,254.5,0,-5,-88
USW00014922,1,11,14,44.88523,-93.23133,254.5,0,0,-49
USW00014922,1,12,14,44.88523,-93.23133,254.5,0,44,-55
USW00014922,1,13,14,44.88523,-93.23133,254.5,3,11,-27
USW00014922,1,14,14,44.88523,-93.23133,254.5,66,-21,-138
USW00014922,1,15,14,44.88523,-93.23133,254.5,8,-38,-182
USW00014922,1,16,14,44.88523,-93.23133,254.5,13,17,-138
USW00014922,1,17,14,44.88523,-93.23133,254.5,0,-105,-171
USW00014922,1,18,14,44.88523,-93.23133,254.5,43,-49,-127
USW00014922,1,19,14,44.88523,-93.23133,254.5,0,39,-82
USW00014922,1,20,14,44.88523,-93.23133,254.5,3,-5,-193
USW00014922,1,21,14,44.88523,-93.23133,254.5,5,-143,-249
USW00014922,1,22,14,44.88523,-93.23133,254.5,3,-132,-221
USW00014922,1,23,14,44.88523,-93.23133,254.5,0,-166,-271
USW00014922,1,24,14,44.88523,-93.23133,254.5,20,6,-166
USW00014922,1,25,14,44.88523,-93.23133,254.5,28,-43,-166
USW00014922,1,26,14,44.88523,-93.23133,254.5,23,-77,-221
USW00014922,1,27,14,44.88523,-93.23133,254.5,0,-210,-266
USW00014922,1,28,14,44.88523,-93.23133,254.5,0,-177,-266
USW00014922,1,29,14,44.88523,-93.23133,254.5,0,11,-210
USW00014922,1,30,14,44.88523,-93.23133,254.5,112,-21,-199
USW00014922,1,31,14,44.88523,-93.23133,254.5,0,-127,-227
USW00014922,2,1,14,44.88523,-93.23133,254.5,0,-55,-182
USW00014922,2,2,14,44.88523,-93.23133,254.5,0,-99,-216
USW00014922,2,3,14,44.88523,-93.23133,254.5,0,-88,-182
USW00014922,2,4,14,44.88523,-93.23133,254.5,0,-116,-182
USW00014922,2,5,14,44.88523,-93.23133,254.5,0,-155,-205
USW00014922,2,6,14,44.88523,-93.23133,254.5,0,-155,-238
USW00014922,2,7,14,44.88523,-93.23133,254.5,0,-110,-205
USW00014922,2,8,14,44.88523,-93.23133,254.5,0,-93,-199
USW00014922,2,9,14,44.88523,-93.23133,254.5,0,-127,-216
USW00014922,2,10,14,44.88523,-93.23133,254.5,0,-132,-238
