STATION,Month,Day,Year,LATITUDE,LONGITUDE,ELEVATION,PRCP,TMAX,TMIN,GHI
USW00014922,1,1,98,44.88523,-93.23133,254.5,0,61,-72,63.58
USW00014922,1,2,98,44.88523,-93.23133,254.5,0,72,-28,60.96
USW00014922,1,3,98,44.88523,-93.23133,254.5,0,11,-106,62
USW00014922,1,4,98,44.88523,-93.23133,254.5,38,-17,-111,44.96
USW00014922,1,5,98,44.88523,-93.23133,254.5,3,6,-44,36.46
USW00014922,1,6,98,44.88523,-93.23133,254.5,3,6,-33,43.21
USW00014922,1,7,98,44.88523,-93.23133,254.5,0,0,-39,44.38
USW00014922,1,8,98,44.88523,-93.23133,254.5,0,22,-44,91.79
USW00014922,1,9,98,44.88523,-93.23133,254.5,3,-33,-194,41.58
USW00014922,1,10,98,44.88523,-93.23133,254.5,0,-167,-206,100
USW00014922,1,11,98,44.88523,-93.23133,254.5,20,-133,-200,37.17
USW00014922,1,12,98,44.88523,-93.23133,254.5,74,-133,-239,66.17
USW00014922,1,13,98,44.88523,-93.23133,254.5,20,-161,-306,96.25
USW00014922,1,14,98,44.88523,-93.23133,254.5,56,-100,-217,48.83
USW00014922,1,15,98,44.88523,-93.23133,254.5,8,-50,-244,75.62
USW00014922,1,16,98,44.88523,-93.23133,254.5,28,-50,-56,36.5
USW00014922,1,17,98,44.88523,-93.23133,254.5,0,-50,-128,44.21
USW00014922,1,18,98,44.88523,-93.23133,254.5,0,-56,-106,41.25
USW00014922,1,19,98,44.88523,-93.23133,254.5,10,-44,-161,104.5
USW00014922,1,20,98,44.88523,-93.23133,254.5,8,-56,-183,72.83
USW00014922,1,21,98,44.88523,-93.23133,254.5,25,-28,-67,52.38
USW00014922,1,22,98,44.88523,-93.23133,254.5,33,-17,-44,61.96
USW00014922,1,23,98,44.88523,-93.23133,254.5,13,-22,-61,64.54
USW00014922,1,24,98,44.88523,-93.23133,254.5,0,-28,-100,71.04
USW00014922,1,25,98,44.88523,-93.23133,254.5,76,-28,-61,43.83
USW00014922,1,26,98,44.88523,-93.23133,254.5,0,-28,-44,29.25
USW00014922,1,27,98,44.88523,-93.23133,254.5,0,-11,-39,75.54
USW00014922,1,28,98,44.88523,-93.23133,254.5,0,11,-67,50.12
USW00014922,1,29,98,44.88523,-93.23133,254.5,0,-33,-128,40.88
USW00014922,1,30,98,44.88523,-93.23133,254.5,0,-17,-61,80.17
USW00014922,1,31,98,44.88523,-93.23133,254.5,0,44,-44,108.46
USW00014922,2,1,98,44.88523,-93.23133,254.5,0,-17,-44,51.62
USW00014922,2,2,98,44.88523,-93.23133,254.5,0,-11,-67,75.21
USW00014922,2,3,98,44.88523,-93.23133,254.5,0,-17,-122,82.79
USW00014922,2,4,98,44.88523,-93.23133,254.5,3,-50,-144,75.88
USW00014922,2,5,98,44.88523,-93.23133,254.5,0,-22,-144,115.25
USW00014922,2,6,98,44.88523,-93.23133,254.5,0,-6,-139,113.54
USW00014922,2,7,98,44.88523,-93.23133,254.5,0,22,-139,127.79
USW00014922,2,8,98,44.88523,-93.23133,254.5,0,33,-94,104.25
USW00014922,2,9,98,44.88523,-93.23133,254.5,0,22,-33,117.88
USW00014922,2,10,98,44.88523,-93.23133,254.5,0,17,-6,72.62
USW00014922,2,11,98,44.88523,-93.23133,254.5,0,11,-33,77.04
USW00014922,2,12,98,44.88523,-93.23133,254.5,0,6,-111,102.58
