GeneID	GO_ID	Aspect	Evidence	Reference
LOC110863689	GO:0005388	F	IEA	PMID:22301074
LOC110863689	GO:0005388	F	IEA	PMID:30032202
LOC110863689	GO:0005524	F	IEA	PMID:22301074
LOC110863689	GO:0016020	C	IEA	PMID:22301074
LOC110863689	GO:0016887	F	IEA	PMID:22301074
LOC110863689	GO:0043231	C	IEA	PMID:30032202
LOC110863689	GO:0070588	P	IEA	PMID:22301074
LOC110863718	GO:0005515	F	IEA	PMID:22301074
LOC110863770	GO:0016616	F	IEA	PMID:30032202
LOC110863782	GO:0061631	F	IEA	PMID:30032202
LOC110863854	GO:0015996	P	IEA	PMID:30032202
LOC110863854	GO:0047746	F	IEA	PMID:30032202
LOC110863939	GO:0003677	F	IEA	PMID:22301074
LOC110863939	GO:0003700	F	IEA	PMID:30032202
LOC110863939	GO:0005634	C	IEA	PMID:30032202
LOC110863939	GO:0006355	P	IEA	PMID:30032202
LOC110863940	GO:0005515	F	IEA	PMID:22301074
LOC110863983	GO:0009733	P	IEA	PMID:22301074
LOC110864016	GO:0080143	P	IEA	PMID:30032202
LOC110864017	GO:0080143	P	IEA	PMID:30032202
LOC110864074	GO:0015996	P	IEA	PMID:30032202
LOC110864074	GO:0047746	F	IEA	PMID:30032202
LOC110864080	GO:0005515	F	IEA	PMID:22301074
LOC110864135	GO:0004144	F	IEA	PMID:22301074
LOC110864135	GO:0004144	F	IEA	PMID:30032202
LOC110864135	GO:0005886	C	IEA	PMID:30032202
LOC110864135	GO:0019432	P	IEA	PMID:30032202
LOC110864135	GO:0047196	F	IEA	PMID:30032202
LOC110864141	GO:0009734	P	IEA	PMID:30032202
LOC110864182	GO:0046872	F	IEA	PMID:22301074
LOC110864196	GO:0009733	P	IEA	PMID:22301074
LOC110864196	GO:0009733	P	IEA	PMID:30032202
LOC110864209	GO:0003700	F	IEA	PMID:30032202
LOC110864209	GO:0005634	C	IEA	PMID:30032202
LOC110864233	GO:0046983	F	IEA	PMID:22301074
LOC110864235	GO:0005737	C	IEA	PMID:30032202
LOC110864235	GO:0042732	P	IEA	PMID:30032202
LOC110864235	GO:0048040	F	IEA	PMID:30032202
LOC110864235	GO:0070403	F	IEA	PMID:30032202
LOC110864242	GO:0000028	P	IEA	PMID:30032202
LOC110864242	GO:0000462	P	IEA	PMID:30032202
LOC110864242	GO:0003735	F	IEA	PMID:22301074
LOC110864242	GO:0003735	F	IEA	PMID:30032202
LOC110864242	GO:0005840	C	IEA	PMID:22301074
LOC110864242	GO:0005840	C	IEA	PMID:30032202
LOC110864242	GO:0006412	P	IEA	PMID:22301074
LOC110864242	GO:0006412	P	IEA	PMID:30032202
LOC110864242	GO:0022627	C	IEA	PMID:30032202
LOC110864242	GO:0048027	F	IEA	PMID:30032202
LOC110864242	GO:0070181	F	IEA	PMID:30032202
LOC110864247	GO:0004364	F	IEA	PMID:30032202
LOC110864247	GO:0005737	C	IEA	PMID:30032202
LOC110864247	GO:0043295	F	IEA	PMID:30032202
LOC110864265	GO:0003872	F	IEA	PMID:22301074
LOC110864265	GO:0003872	F	IEA	PMID:30032202
LOC110864265	GO:0005524	F	IEA	PMID:22301074
LOC110864265	GO:0005737	C	IEA	PMID:30032202
LOC110864265	GO:0006002	P	IEA	PMID:22301074
LOC110864265	GO:0006096	P	IEA	PMID:22301074
LOC110864268	GO:0001731	P	IEA	PMID:30032202
LOC110864268	GO:0001732	P	IEA	PMID:30032202
LOC110864268	GO:0003729	F	IEA	PMID:30032202
LOC110864268	GO:0003743	F	IEA	PMID:22301074
LOC110864268	GO:0003743	F	IEA	PMID:30032202
LOC110864268	GO:0005850	C	IEA	PMID:30032202
LOC110864268	GO:0006413	P	IEA	PMID:22301074
LOC110864268	GO:0006413	P	IEA	PMID:30032202
LOC110864268	GO:0031369	F	IEA	PMID:30032202
LOC110864276	GO:0005634	C	IEA	PMID:30032202
LOC110864276	GO:0007275	P	IEA	PMID:22301074
LOC110864276	GO:0007275	P	IEA	PMID:30032202
LOC110864276	GO:0009944	P	IEA	PMID:30032202
LOC110864276	GO:0010154	P	IEA	PMID:30032202
LOC110864276	GO:0010158	P	IEA	PMID:30032202
LOC110864276	GO:0045165	P	IEA	PMID:30032202
LOC110864276	GO:1902183	P	IEA	PMID:30032202
LOC110864276	GO:2000024	P	IEA	PMID:30032202
LOC110864277	GO:0050661	F	IEA	PMID:22301074
LOC110864279	GO:0008270	F	IEA	PMID:22301074
LOC110864282	GO:0006857	P	IEA	PMID:22301074
LOC110864282	GO:0010167	P	IEA	PMID:30032202
LOC110864282	GO:0015112	F	IEA	PMID:30032202
LOC110864282	GO:0016020	C	IEA	PMID:22301074
LOC110864282	GO:0055085	P	IEA	PMID:22301074
LOC110864291	GO:0005634	C	IEA	PMID:30032202
LOC110864292	GO:0005524	F	IEA	PMID:22301074
LOC110864292	GO:0005524	F	IEA	PMID:30032202
LOC110864292	GO:0005634	C	IEA	PMID:30032202
LOC110864292	GO:0006298	P	IEA	PMID:22301074
LOC110864292	GO:0006298	P	IEA	PMID:30032202
LOC110864292	GO:0007131	P	IEA	PMID:30032202
LOC110864292	GO:0030983	F	IEA	PMID:22301074
LOC110864292	GO:0030983	F	IEA	PMID:30032202
LOC110864292	GO:0140664	F	IEA	PMID:30032202
LOC110864296	GO:0003677	F	IEA	PMID:22301074
LOC110864296	GO:0003700	F	IEA	PMID:22301074
LOC110864296	GO:0006355	P	IEA	PMID:22301074
LOC110864297	GO:0004046	F	IEA	PMID:22301074
LOC110864297	GO:0004046	F	IEA	PMID:30032202
LOC110864297	GO:0005737	C	IEA	PMID:22301074
LOC110864297	GO:0006520	P	IEA	PMID:22301074
LOC110864302	GO:0004439	F	IEA	PMID:30032202
LOC110864302	GO:0006470	P	IEA	PMID:22301074
LOC110864302	GO:0008138	F	IEA	PMID:22301074
LOC110864309	GO:0005886	C	IEA	PMID:30032202
LOC110864309	GO:0009506	C	IEA	PMID:30032202
LOC110864309	GO:0009734	P	IEA	PMID:30032202
LOC110864313	GO:0005886	C	IEA	PMID:30032202
LOC110864313	GO:0006857	P	IEA	PMID:22301074
LOC110864313	GO:0022857	F	IEA	PMID:22301074
LOC110864313	GO:0055085	P	IEA	PMID:22301074
LOC110864314	GO:0000287	F	IEA	PMID:22301074
LOC110864314	GO:0010333	F	IEA	PMID:22301074
LOC110864314	GO:0016102	P	IEA	PMID:22301074
LOC110864324	GO:0004176	F	IEA	PMID:22301074
LOC110864324	GO:0004176	F	IEA	PMID:30032202
LOC110864324	GO:0004252	F	IEA	PMID:22301074
LOC110864324	GO:0004252	F	IEA	PMID:30032202
LOC110864324	GO:0006515	P	IEA	PMID:30032202
LOC110864324	GO:0009368	C	IEA	PMID:30032202
LOC110864324	GO:0051117	F	IEA	PMID:30032202
LOC110864327	GO:0004497	F	IEA	PMID:22301074
LOC110864327	GO:0005506	F	IEA	PMID:22301074
LOC110864327	GO:0016705	F	IEA	PMID:22301074
LOC110864327	GO:0020037	F	IEA	PMID:22301074
LOC110864329	GO:0004497	F	IEA	PMID:22301074
LOC110864329	GO:0005506	F	IEA	PMID:22301074
LOC110864329	GO:0016705	F	IEA	PMID:22301074
LOC110864329	GO:0020037	F	IEA	PMID:22301074
LOC110864336	GO:0003680	F	IEA	PMID:30032202
LOC110864336	GO:0003700	F	IEA	PMID:30032202
LOC110864336	GO:0005634	C	IEA	PMID:30032202
LOC110864336	GO:0010228	P	IEA	PMID:30032202
LOC110864337	GO:0015297	F	IEA	PMID:22301074
LOC110864337	GO:0016020	C	IEA	PMID:22301074
LOC110864337	GO:0016020	C	IEA	PMID:30032202
LOC110864337	GO:0042910	F	IEA	PMID:22301074
LOC110864337	GO:1990961	P	IEA	PMID:22301074
LOC110864357	GO:0004630	F	IEA	PMID:22301074
LOC110864357	GO:0004630	F	IEA	PMID:30032202
LOC110864357	GO:0005509	F	IEA	PMID:22301074
LOC110864357	GO:0005886	C	IEA	PMID:30032202
LOC110864357	GO:0009395	P	IEA	PMID:30032202
LOC110864357	GO:0046470	P	IEA	PMID:22301074
LOC110864368	GO:0003677	F	IEA	PMID:22301074
