"export-plot data (NetLogo 6.4.0)"
"pest_pathogen.nlogo"
"03/28/2025 10:43:25:217 -0600"

"MODEL SETTINGS"
"pest-pressure"
"0.5"

"""Population Size"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","715","0","138","true","""Low Diversity""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""High Diversity""","true","0","1","102","674"
"""Low Diversity""","true","0","1","35","674"

"""High Diversity""",,,,"""Low Diversity"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","19","102","true","0","81","35","true"
"1","19","102","true","1","85","35","true"
"2","19","102","true","2","85","35","true"
"3","19","102","true","3","84","35","true"
"4","19","102","true","4","84","35","true"
"5","18","102","true","5","88","35","true"
"6","18","102","true","6","88","35","true"
"7","18","102","true","7","90","35","true"
"8","18","102","true","8","90","35","true"
"9","18","102","true","9","89","35","true"
"10","18","102","true","10","89","35","true"
"11","17","102","true","11","88","35","true"
"12","17","102","true","12","88","35","true"
"13","16","102","true","13","87","35","true"
"14","16","102","true","14","87","35","true"
"15","16","102","true","15","87","35","true"
"16","16","102","true","16","87","35","true"
"17","17","102","true","17","89","35","true"
"18","17","102","true","18","89","35","true"
"19","17","102","true","19","88","35","true"
"20","17","102","true","20","88","35","true"
"21","17","102","true","21","89","35","true"
"22","17","102","true","22","89","35","true"
"23","17","102","true","23","88","35","true"
"24","17","102","true","24","88","35","true"
"25","18","102","true","25","87","35","true"
"26","18","102","true","26","87","35","true"
"27","18","102","true","27","88","35","true"
"28","18","102","true","28","88","35","true"
"29","19","102","true","29","88","35","true"
"30","19","102","true","30","88","35","true"
"31","18","102","true","31","88","35","true"
"32","18","102","true","32","88","35","true"
"33","18","102","true","33","87","35","true"
"34","18","102","true","34","87","35","true"
"35","18","102","true","35","83","35","true"
"36","18","102","true","36","83","35","true"
"37","19","102","true","37","83","35","true"
"38","19","102","true","38","83","35","true"
"39","18","102","true","39","86","35","true"
"40","18","102","true","40","86","35","true"
"41","19","102","true","41","85","35","true"
"42","19","102","true","42","85","35","true"
"43","19","102","true","43","87","35","true"
"44","19","102","true","44","87","35","true"
"45","19","102","true","45","88","35","true"
"46","19","102","true","46","88","35","true"
"47","19","102","true","47","86","35","true"
"48","19","102","true","48","86","35","true"
"49","19","102","true","49","86","35","true"
"50","19","102","true","50","86","35","true"
"51","19","102","true","51","87","35","true"
"52","19","102","true","52","87","35","true"
"53","19","102","true","53","91","35","true"
"54","19","102","true","54","91","35","true"
"55","21","102","true","55","92","35","true"
"56","21","102","true","56","92","35","true"
"57","21","102","true","57","93","35","true"
"58","21","102","true","58","93","35","true"
"59","20","102","true","59","93","35","true"
"60","20","102","true","60","93","35","true"
"61","21","102","true","61","95","35","true"
"62","21","102","true","62","95","35","true"
"63","21","102","true","63","94","35","true"
"64","21","102","true","64","94","35","true"
"65","21","102","true","65","95","35","true"
"66","21","102","true","66","95","35","true"
"67","23","102","true","67","94","35","true"
"68","23","102","true","68","94","35","true"
"69","23","102","true","69","93","35","true"
"70","23","102","true","70","93","35","true"
"71","24","102","true","71","95","35","true"
"72","24","102","true","72","95","35","true"
"73","23","102","true","73","97","35","true"
"74","23","102","true","74","97","35","true"
"75","23","102","true","75","102","35","true"
"76","23","102","true","76","102","35","true"
"77","24","102","true","77","102","35","true"
"78","24","102","true","78","102","35","true"
"79","25","102","true","79","104","35","true"
"80","25","102","true","80","104","35","true"
"81","24","102","true","81","104","35","true"
"82","24","102","true","82","104","35","true"
"83","24","102","true","83","101","35","true"
"84","24","102","true","84","101","35","true"
"85","25","102","true","85","100","35","true"
"86","25","102","true","86","100","35","true"
"87","27","102","true","87","104","35","true"
"88","27","102","true","88","104","35","true"
"89","27","102","true","89","100","35","true"
"90","27","102","true","90","100","35","true"
"91","28","102","true","91","98","35","true"
"92","28","102","true","92","98","35","true"
"93","26","102","true","93","99","35","true"
"94","26","102","true","94","99","35","true"
"95","26","102","true","95","96","35","true"
"96","26","102","true","96","96","35","true"
"97","25","102","true","97","96","35","true"
"98","25","102","true","98","96","35","true"
"99","24","102","true","99","98","35","true"
"100","24","102","true","100","98","35","true"
"101","25","102","true","101","98","35","true"
"102","25","102","true","102","98","35","true"
"103","25","102","true","103","100","35","true"
"104","25","102","true","104","100","35","true"
"105","26","102","true","105","97","35","true"
"106","26","102","true","106","97","35","true"
"107","25","102","true","107","97","35","true"
"108","25","102","true","108","97","35","true"
"109","26","102","true","109","97","35","true"
"110","26","102","true","110","97","35","true"
"111","26","102","true","111","97","35","true"
"112","26","102","true","112","97","35","true"
"113","27","102","true","113","93","35","true"
"114","27","102","true","114","93","35","true"
"115","28","102","true","115","94","35","true"
"116","28","102","true","116","94","35","true"
"117","26","102","true","117","96","35","true"
"118","26","102","true","118","96","35","true"
"119","26","102","true","119","96","35","true"
"120","26","102","true","120","96","35","true"
"121","26","102","true","121","98","35","true"
"122","26","102","true","122","98","35","true"
"123","27","102","true","123","100","35","true"
"124","27","102","true","124","100","35","true"
"125","29","102","true","125","100","35","true"
"126","29","102","true","126","100","35","true"
"127","30","102","true","127","99","35","true"
"128","30","102","true","128","99","35","true"
"129","31","102","true","129","98","35","true"
"130","31","102","true","130","98","35","true"
"131","35","102","true","131","100","35","true"
"132","35","102","true","132","100","35","true"
"133","33","102","true","133","100","35","true"
"134","33","102","true","134","100","35","true"
"135","32","102","true","135","99","35","true"
"136","32","102","true","136","99","35","true"
"137","33","102","true","137","97","35","true"
"138","33","102","true","138","97","35","true"
"139","33","102","true","139","97","35","true"
"140","33","102","true","140","97","35","true"
"141","36","102","true","141","96","35","true"
"142","36","102","true","142","96","35","true"
"143","37","102","true","143","95","35","true"
"144","37","102","true","144","95","35","true"
"145","38","102","true","145","94","35","true"
"146","38","102","true","146","94","35","true"
"147","39","102","true","147","93","35","true"
"148","39","102","true","148","93","35","true"
"149","37","102","true","149","93","35","true"
"150","37","102","true","150","93","35","true"
"151","37","102","true","151","94","35","true"
"152","37","102","true","152","94","35","true"
"153","37","102","true","153","95","35","true"
"154","37","102","true","154","95","35","true"
"155","36","102","true","155","95","35","true"
"156","36","102","true","156","95","35","true"
"157","35","102","true","157","96","35","true"
"158","35","102","true","158","96","35","true"
"159","34","102","true","159","97","35","true"
"160","34","102","true","160","97","35","true"
"161","33","102","true","161","97","35","true"
"162","33","102","true","162","97","35","true"
"163","31","102","true","163","99","35","true"
"164","31","102","true","164","99","35","true"
"165","30","102","true","165","102","35","true"
"166","30","102","true","166","102","35","true"
"167","30","102","true","167","102","35","true"
"168","30","102","true","168","102","35","true"
"169","30","102","true","169","100","35","true"
"170","30","102","true","170","100","35","true"
"171","31","102","true","171","102","35","true"
"172","31","102","true","172","102","35","true"
"173","29","102","true","173","102","35","true"
"174","29","102","true","174","102","35","true"
"175","31","102","true","175","97","35","true"
"176","31","102","true","176","97","35","true"
"177","31","102","true","177","99","35","true"
"178","31","102","true","178","99","35","true"
"179","28","102","true","179","98","35","true"
"180","28","102","true","180","98","35","true"
"181","27","102","true","181","99","35","true"
"182","27","102","true","182","99","35","true"
"183","26","102","true","183","100","35","true"
"184","26","102","true","184","100","35","true"
"185","24","102","true","185","100","35","true"
"186","24","102","true","186","100","35","true"
"187","22","102","true","187","100","35","true"
"188","22","102","true","188","100","35","true"
"189","22","102","true","189","103","35","true"
"190","22","102","true","190","103","35","true"
"191","23","102","true","191","102","35","true"
"192","23","102","true","192","102","35","true"
"193","23","102","true","193","105","35","true"
"194","23","102","true","194","105","35","true"
"195","23","102","true","195","107","35","true"
"196","23","102","true","196","107","35","true"
"197","25","102","true","197","104","35","true"
"198","25","102","true","198","104","35","true"
"199","25","102","true","199","103","35","true"
"200","25","102","true","200","103","35","true"
"201","24","102","true","201","103","35","true"
"202","24","102","true","202","103","35","true"
"203","26","102","true","203","100","35","true"
"204","26","102","true","204","100","35","true"
"205","25","102","true","205","103","35","true"
"206","25","102","true","206","103","35","true"
"207","24","102","true","207","103","35","true"
"208","24","102","true","208","103","35","true"
"209","25","102","true","209","106","35","true"
"210","25","102","true","210","106","35","true"
"211","25","102","true","211","104","35","true"
"212","25","102","true","212","104","35","true"
"213","24","102","true","213","104","35","true"
"214","24","102","true","214","104","35","true"
"215","25","102","true","215","103","35","true"
"216","25","102","true","216","103","35","true"
"217","25","102","true","217","104","35","true"
"218","25","102","true","218","104","35","true"
"219","25","102","true","219","104","35","true"
"220","25","102","true","220","104","35","true"
"221","26","102","true","221","106","35","true"
"222","26","102","true","222","106","35","true"
"223","24","102","true","223","107","35","true"
"224","24","102","true","224","107","35","true"
"225","25","102","true","225","109","35","true"
"226","25","102","true","226","109","35","true"
"227","24","102","true","227","111","35","true"
"228","24","102","true","228","111","35","true"
"229","25","102","true","229","113","35","true"
"230","25","102","true","230","113","35","true"
"231","26","102","true","231","113","35","true"
"232","26","102","true","232","113","35","true"
"233","25","102","true","233","113","35","true"
"234","25","102","true","234","113","35","true"
"235","25","102","true","235","112","35","true"
"236","25","102","true","236","112","35","true"
"237","25","102","true","237","110","35","true"
"238","25","102","true","238","110","35","true"
"239","25","102","true","239","114","35","true"
"240","25","102","true","240","114","35","true"
"241","28","102","true","241","114","35","true"
"242","28","102","true","242","114","35","true"
"243","30","102","true","243","116","35","true"
"244","30","102","true","244","116","35","true"
"245","31","102","true","245","116","35","true"
"246","31","102","true","246","116","35","true"
"247","30","102","true","247","117","35","true"
"248","30","102","true","248","117","35","true"
"249","31","102","true","249","117","35","true"
"250","31","102","true","250","117","35","true"
"251","31","102","true","251","121","35","true"
"252","31","102","true","252","121","35","true"
"253","29","102","true","253","117","35","true"
"254","29","102","true","254","117","35","true"
"255","31","102","true","255","119","35","true"
"256","31","102","true","256","119","35","true"
"257","32","102","true","257","118","35","true"
"258","32","102","true","258","118","35","true"
"259","32","102","true","259","120","35","true"
"260","32","102","true","260","120","35","true"
"261","34","102","true","261","120","35","true"
"262","34","102","true","262","120","35","true"
"263","34","102","true","263","124","35","true"
"264","34","102","true","264","124","35","true"
"265","32","102","true","265","120","35","true"
"266","32","102","true","266","120","35","true"
"267","31","102","true","267","121","35","true"
"268","31","102","true","268","121","35","true"
"269","31","102","true","269","125","35","true"
"270","31","102","true","270","125","35","true"
"271","30","102","true","271","120","35","true"
"272","30","102","true","272","120","35","true"
"273","30","102","true","273","123","35","true"
"274","30","102","true","274","123","35","true"
"275","29","102","true","275","123","35","true"
"276","29","102","true","276","123","35","true"
"277","31","102","true","277","125","35","true"
"278","31","102","true","278","125","35","true"
"279","30","102","true","279","121","35","true"
"280","30","102","true","280","121","35","true"
"281","30","102","true","281","123","35","true"
"282","30","102","true","282","123","35","true"
"283","31","102","true","283","121","35","true"
"284","31","102","true","284","121","35","true"
"285","29","102","true","285","121","35","true"
"286","29","102","true","286","121","35","true"
"287","30","102","true","287","121","35","true"
"288","30","102","true","288","121","35","true"
"289","29","102","true","289","121","35","true"
"290","29","102","true","290","121","35","true"
"291","28","102","true","291","121","35","true"
"292","28","102","true","292","121","35","true"
"293","26","102","true","293","122","35","true"
"294","26","102","true","294","122","35","true"
"295","24","102","true","295","125","35","true"
"296","24","102","true","296","125","35","true"
"297","25","102","true","297","127","35","true"
"298","25","102","true","298","127","35","true"
"299","22","102","true","299","128","35","true"
"300","22","102","true","300","128","35","true"
"301","22","102","true","301","128","35","true"
"302","22","102","true","302","128","35","true"
"303","24","102","true","303","124","35","true"
"304","24","102","true","304","124","35","true"
"305","23","102","true","305","124","35","true"
"306","23","102","true","306","124","35","true"
"307","22","102","true","307","123","35","true"
"308","22","102","true","308","123","35","true"
"309","19","102","true","309","125","35","true"
"310","19","102","true","310","125","35","true"
"311","18","102","true","311","128","35","true"
