"export-plot data (NetLogo 6.4.0)"
"pest_pathogen.nlogo"
"03/28/2025 10:44:18:790 -0600"

"MODEL SETTINGS"
"pest-pressure"
"0.1"

"""Population Size"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","571","0","29600","true","""Low Diversity""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""High Diversity""","true","0","1","102","484"
"""Low Diversity""","true","0","1","35","484"

"""High Diversity""",,,,"""Low Diversity"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","21","102","true","0","79","35","true"
"1","21","102","true","1","79","35","true"
"2","21","102","true","2","79","35","true"
"3","20","102","true","3","80","35","true"
"4","20","102","true","4","80","35","true"
"5","21","102","true","5","80","35","true"
"6","21","102","true","6","80","35","true"
"7","21","102","true","7","80","35","true"
"8","21","102","true","8","80","35","true"
"9","22","102","true","9","80","35","true"
"10","22","102","true","10","80","35","true"
"11","23","102","true","11","83","35","true"
"12","23","102","true","12","83","35","true"
"13","23","102","true","13","85","35","true"
"14","23","102","true","14","85","35","true"
"15","24","102","true","15","86","35","true"
"16","24","102","true","16","86","35","true"
"17","24","102","true","17","87","35","true"
"18","24","102","true","18","87","35","true"
"19","27","102","true","19","88","35","true"
"20","27","102","true","20","88","35","true"
"21","27","102","true","21","88","35","true"
"22","27","102","true","22","88","35","true"
"23","27","102","true","23","88","35","true"
"24","27","102","true","24","88","35","true"
"25","28","102","true","25","90","35","true"
"26","28","102","true","26","90","35","true"
"27","28","102","true","27","92","35","true"
"28","28","102","true","28","92","35","true"
"29","30","102","true","29","94","35","true"
"30","30","102","true","30","94","35","true"
"31","31","102","true","31","96","35","true"
"32","31","102","true","32","96","35","true"
"33","33","102","true","33","95","35","true"
"34","33","102","true","34","95","35","true"
"35","33","102","true","35","95","35","true"
"36","33","102","true","36","95","35","true"
"37","35","102","true","37","94","35","true"
"38","35","102","true","38","94","35","true"
"39","35","102","true","39","96","35","true"
"40","35","102","true","40","96","35","true"
"41","35","102","true","41","98","35","true"
"42","35","102","true","42","98","35","true"
"43","35","102","true","43","100","35","true"
"44","35","102","true","44","100","35","true"
"45","37","102","true","45","101","35","true"
"46","37","102","true","46","101","35","true"
"47","39","102","true","47","105","35","true"
"48","39","102","true","48","105","35","true"
"49","41","102","true","49","108","35","true"
"50","41","102","true","50","108","35","true"
"51","41","102","true","51","110","35","true"
"52","41","102","true","52","110","35","true"
"53","41","102","true","53","113","35","true"
"54","41","102","true","54","113","35","true"
"55","41","102","true","55","113","35","true"
"56","41","102","true","56","113","35","true"
"57","43","102","true","57","114","35","true"
"58","43","102","true","58","114","35","true"
"59","44","102","true","59","123","35","true"
"60","44","102","true","60","123","35","true"
"61","43","102","true","61","126","35","true"
"62","43","102","true","62","126","35","true"
"63","46","102","true","63","129","35","true"
"64","46","102","true","64","129","35","true"
"65","46","102","true","65","132","35","true"
"66","46","102","true","66","132","35","true"
"67","46","102","true","67","132","35","true"
"68","46","102","true","68","132","35","true"
"69","47","102","true","69","135","35","true"
"70","47","102","true","70","135","35","true"
"71","49","102","true","71","137","35","true"
"72","49","102","true","72","137","35","true"
"73","49","102","true","73","139","35","true"
"74","49","102","true","74","139","35","true"
"75","53","102","true","75","142","35","true"
"76","53","102","true","76","142","35","true"
"77","54","102","true","77","143","35","true"
"78","54","102","true","78","143","35","true"
"79","55","102","true","79","141","35","true"
"80","55","102","true","80","141","35","true"
"81","57","102","true","81","143","35","true"
"82","57","102","true","82","143","35","true"
"83","59","102","true","83","146","35","true"
"84","59","102","true","84","146","35","true"
"85","63","102","true","85","147","35","true"
"86","63","102","true","86","147","35","true"
"87","67","102","true","87","149","35","true"
"88","67","102","true","88","149","35","true"
"89","70","102","true","89","153","35","true"
"90","70","102","true","90","153","35","true"
"91","74","102","true","91","155","35","true"
"92","74","102","true","92","155","35","true"
"93","74","102","true","93","157","35","true"
"94","74","102","true","94","157","35","true"
"95","77","102","true","95","159","35","true"
"96","77","102","true","96","159","35","true"
"97","76","102","true","97","162","35","true"
"98","76","102","true","98","162","35","true"
"99","80","102","true","99","167","35","true"
"100","80","102","true","100","167","35","true"
"101","83","102","true","101","173","35","true"
"102","83","102","true","102","173","35","true"
"103","87","102","true","103","172","35","true"
"104","87","102","true","104","172","35","true"
"105","88","102","true","105","175","35","true"
"106","88","102","true","106","175","35","true"
"107","90","102","true","107","178","35","true"
"108","90","102","true","108","178","35","true"
"109","89","102","true","109","186","35","true"
"110","89","102","true","110","186","35","true"
"111","93","102","true","111","192","35","true"
"112","93","102","true","112","192","35","true"
"113","97","102","true","113","193","35","true"
"114","97","102","true","114","193","35","true"
"115","100","102","true","115","194","35","true"
"116","100","102","true","116","194","35","true"
