"export-plot data (NetLogo 6.4.0)"
"pest_pathogen.nlogo"
"03/28/2025 10:46:06:440 -0600"

"MODEL SETTINGS"
"pest-pressure"
"0.9"

"""Population Size"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","895","0","81.4","true","""Low Diversity""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""High Diversity""","true","0","1","102","782"
"""Low Diversity""","true","0","1","35","782"

"""High Diversity""",,,,"""Low Diversity"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","26","102","true","0","74","35","true"
"1","27","102","true","1","75","35","true"
"2","27","102","true","2","75","35","true"
"3","25","102","true","3","72","35","true"
"4","25","102","true","4","72","35","true"
"5","25","102","true","5","73","35","true"
"6","25","102","true","6","73","35","true"
"7","24","102","true","7","72","35","true"
"8","24","102","true","8","72","35","true"
"9","26","102","true","9","72","35","true"
"10","26","102","true","10","72","35","true"
"11","24","102","true","11","70","35","true"
"12","24","102","true","12","70","35","true"
"13","24","102","true","13","69","35","true"
"14","24","102","true","14","69","35","true"
"15","27","102","true","15","70","35","true"
"16","27","102","true","16","70","35","true"
"17","27","102","true","17","70","35","true"
"18","27","102","true","18","70","35","true"
"19","26","102","true","19","67","35","true"
"20","26","102","true","20","67","35","true"
"21","24","102","true","21","66","35","true"
"22","24","102","true","22","66","35","true"
"23","26","102","true","23","65","35","true"
"24","26","102","true","24","65","35","true"
"25","27","102","true","25","64","35","true"
"26","27","102","true","26","64","35","true"
"27","27","102","true","27","66","35","true"
"28","27","102","true","28","66","35","true"
"29","25","102","true","29","67","35","true"
"30","25","102","true","30","67","35","true"
"31","23","102","true","31","67","35","true"
"32","23","102","true","32","67","35","true"
"33","23","102","true","33","67","35","true"
"34","23","102","true","34","67","35","true"
"35","28","102","true","35","66","35","true"
"36","28","102","true","36","66","35","true"
"37","28","102","true","37","63","35","true"
"38","28","102","true","38","63","35","true"
"39","26","102","true","39","62","35","true"
"40","26","102","true","40","62","35","true"
"41","29","102","true","41","59","35","true"
"42","29","102","true","42","59","35","true"
"43","30","102","true","43","60","35","true"
"44","30","102","true","44","60","35","true"
"45","29","102","true","45","60","35","true"
"46","29","102","true","46","60","35","true"
"47","29","102","true","47","58","35","true"
"48","29","102","true","48","58","35","true"
