Jour	Annee	Mois	JourJ	Tmin	Tmax	ETP	RAD	Pluie
1	2014	1	1	4.4	11.2	0.4	5.06	0.0
2	2014	1	2	9.0	14.9	0.9	4.61	0.5
3	2014	1	3	9.6	13.9	0.8	2.09	3.0
4	2014	1	4	6.5	13.9	0.7	4.19	10.5
5	2014	1	5	5.1	12.3	0.6	4.89	0.0
6	2014	1	6	6.7	13.5	0.6	6.75	0.0
7	2014	1	7	10.3	14.0	0.9	4.42	0.0
8	2014	1	8	11.1	14.3	1.2	5.28	0.0
9	2014	1	9	10.8	13.8	1.3	4.8	0.0
10	2014	1	10	3.4	13.3	0.4	4.85	0.0
11	2014	1	11	8.2	12.9	0.7	2.27	0.0
12	2014	1	12	8.3	14.3	0.6	7.49	0.5
13	2014	1	13	8.2	10.1	0.4	1.48	4.5
14	2014	1	14	0.9	9.0	0.2	2.56	2.5
15	2014	1	15	2.3	9.5	0.3	2.93	0.5
16	2014	1	16	5.2	10.5	0.5	3.36	0.0
17	2014	1	17	0.7	12.8	0.3	7.63	0.0
18	2014	1	18	1.0	12.5	0.5	3.68	0.5
19	2014	1	19	2.8	8.2	0.3	2.31	1.0
20	2014	1	20	4.9	8.4	0.8	4.9	1.5
21	2014	1	21	3.1	10.5	0.5	7.62	0.0
22	2014	1	22	-1.0	8.9	0.2	1.93	8.0
23	2014	1	23	6.5	10.3	0.8	4.18	9.5
24	2014	1	24	7.8	11.8	0.5	1.62	30.5
25	2014	1	25	10.5	12.6	0.7	2.43	4.5
26	2014	1	26	10.0	13.8	0.9	5.03	2.5
27	2014	1	27	5.1	8.5	0.9	3.89	8.5
28	2014	1	28	3.8	12.5	1.1	7.87	3.5
29	2014	1	29	4.8	12.6	0.8	8.54	0.0
30	2014	1	30	3.3	9.3	0.7	6.48	1.0
31	2014	1	31	0.4	9.1	0.3	3.38	0.5
1	2014	2	32	4.5	8.2	0.6	1.6	10.5
2	2014	2	33	3.4	9.8	0.9	6.62	0.5
3	2014	2	34	-0.8	10.5	0.6	8.32	6.0
