JourJ	Annee	Mois	Jour	Tmin	Tmax	ETP	RAD	Pluie
1	2003	1	1	3.8	10.1	0	1.36	3.5
2	2003	1	2	7.3	19.1	0.7	5.86	0.5
3	2003	1	3	7.2	17.3	0.3	7.78	0
4	2003	1	4	3.3	11.2	0.6	2.94	1.5
5	2003	1	5	-0.2	5.2	0.1	7.65	0
6	2003	1	6	-1.7	2.2	0.2	1.41	1
7	2003	1	7	-3.6	2.6	0.1	5.43	0.5
8	2003	1	8	0.2	7.8	0.5	2.57	4
9	2003	1	9	2.3	9.7	0.1	6.36	0
10	2003	1	10	-1.8	0.7	0.45	1.25	0
11	2003	1	11	-2.9	0	0.37	1.58	0
12	2003	1	12	-4.2	-0.8	0.35	4.78	0
13	2003	1	13	-6.3	2	0.22	9.68	0
14	2003	1	14	-3.1	8.7	0.35	8.08	0
15	2003	1	15	-4.3	10	0.23	9.12	0
16	2003	1	16	1.2	9.5	0.14	4.22	0
17	2003	1	17	-0.3	10.3	0.21	7.53	0.5
18	2003	1	18	0.9	10.9	0.19	6.44	0.5
19	2003	1	19	4.2	8.3	0.27	1.2	9.5
20	2003	1	20	0.3	11.7	0.24	6.39	6
21	2003	1	21	4.4	15	0.63	7.68	3
22	2003	1	22	6.9	12	0.81	5.64	1.5
23	2003	1	23	6.1	10.1	1.08	6.92	0
24	2003	1	24	5.1	9.1	0.99	6.25	0
25	2003	1	25	-0.4	7.9	0.52	9.86	1
26	2003	1	26	4.1	9.6	0.45	2.15	10.5
27	2003	1	27	6.3	11.6	0.09	2.78	0
28	2003	1	28	7.4	13.1	1	5.07	5
29	2003	1	29	3.3	6.8	0.59	4.7	3
30	2003	1	30	1.4	4.7	0.57	3.26	6.5
31	2003	1	31	0	4.5	1.79	11.81	0
32	2003	2	1	-1	7.2	0.72	8.42	2.5
33	2003	2	2	3.6	11.5	0.42	7.16	2
34	2003	2	3	7.7	12	1.08	3.76	24
35	2003	2	4	4.6	7.3	0.49	4.2	3.5
36	2003	2	5	1.8	5.5	0.58	3.18	4.5
37	2003	2	6	-0.8	6.7	0.45	10.55	0
38	2003	2	7	-3.6	10.2	0.44	12.43	0
39	2003	2	8	-2.7	12.9	0.52	12.84	0.5
40	2003	2	9	-0.8	12.6	0.55	10.82	0.5
41	2003	2	10	3.5	10.2	0.76	10.94	0
42	2003	2	11	-0.9	8.5	0.42	5.92	0
43	2003	2	12	4.6	8.3	0.83	8.42	0
44	2003	2	13	2.2	8.5	0.71	8.21	0
45	2003	2	14	0.9	3.5	0.71	6.24	0
46	2003	2	15	-2.9	3.1	0.6	7.46	0
47	2003	2	16	-1.9	4.3	0.94	7.05	0
48	2003	2	17	-3.8	0.7	0.67	6.54	0
49	2003	2	18	-4.7	5.7	0.7	13.46	0
50	2003	2	19	-2.6	9.8	0.5	6.82	0
51	2003	2	20	4	8.3	0.7	3.75	4
52	2003	2	21	3	11.2	1.2	13.94	0
53	2003	2	22	7.4	13.9	2.2	11.64	0
54	2003	2	23	9.4	12.8	1.5	8	0
55	2003	2	24	9.1	13.5	2.7	13.97	0
56	2003	2	25	9.7	12.5	3.4	7.96	0
57	2003	2	26	9.9	12.9	2.5	7.26	0
58	2003	2	27	8.9	15.1	1.55	8.49	4.5
59	2003	2	28	2.9	15.3	1.17	11.76	0
60	2003	3	1	8.8	14.5	1.28	6.77	2.5
61	2003	3	2	7.6	11	0.71	4.3	5
62	2003	3	3	7.6	12.8	0.65	2.96	21.5
63	2003	3	4	11.7	17.2	2.06	12.31	0
64	2003	3	5	2.3	15	1.06	14.55	4
65	2003	3	6	8.7	12.8	1.87	11.7	0.5
66	2003	3	7	0.2	15.5	1.54	16.37	0
67	2003	3	8	6.6	15	1.74	14.42	0
68	2003	3	9	0.6	20.1	1.77	17.99	0
69	2003	3	10	1.8	22.1	2.09	18.63	0
70	2003	3	11	6.2	16.2	2.39	17.96	0
71	2003	3	12	8.3	23	2.86	18.48	0
72	2003	3	13	4.6	19.8	2.16	17.53	0
73	2003	3	14	3.6	17.2	2.5	18.17	0
74	2003	3	15	7.6	16.3	2.96	19.21	0
75	2003	3	16	2.4	16	2.65	20.67	0
76	2003	3	17	-0.4	20.1	2.32	20.85	0
77	2003	3	18	-0.5	18.5	2.4	19.92	0
78	2003	3	19	0.7	19.2	2.42	20.82	0
79	2003	3	20	4.6	18.3	3.42	20.4	0
80	2003	3	21	5.4	16.9	2.67	17.77	0
81	2003	3	22	4.7	17.4	3.33	20.45	0
82	2003	3	23	10	18	4.22	20.56	0
83	2003	3	24	8.6	19	3.71	21.27	0
84	2003	3	25	8.2	18.6	4	21.84	0
85	2003	3	26	7.4	17.6	5.9	22.9	0
86	2003	3	27	11.3	15.6	5.6	20.2	0
87	2003	3	28	12.1	15.4	3.5	10.84	0
88	2003	3	29	10.9	16.3	2.3	11.91	0.5
89	2003	3	30	10.6	17.7	3.49	19.78	0
90	2003	3	31	5.8	20.9	3	21.98	0
91	2003	4	1	9.7	18.8	2.34	12.69	2
92	2003	4	2	8.2	11.6	2.04	6.93	2.5
93	2003	4	3	4.2	10.7	3.52	13.4	0
94	2003	4	4	1.7	13.2	3.6	23.54	0
95	2003	4	5	-0.7	16.8	3.39	24.91	0
96	2003	4	6	6	18.4	4.55	24.76	0
97	2003	4	7	2.6	15.1	3.23	25.2	0
98	2003	4	8	3.1	15.5	3.88	24.87	0
99	2003	4	9	7.8	15.4	1.97	8.09	7
100	2003	4	10	5.3	13.3	2.82	16.55	0.5
101	2003	4	11	3.2	16.7	2.26	12.1	3.5
102	2003	4	12	2.8	17.8	2.56	17.43	0
103	2003	4	13	9.1	16.9	4.43	24.03	0
104	2003	4	14	12	18.1	6.48	20.23	0
105	2003	4	15	12.8	17.4	4.13	7.96	0
106	2003	4	16	10.7	21.2	4.96	24.11	0
107	2003	4	17	7	24.3	3.8	23.76	0
108	2003	4	18	10.8	25.8	4.34	24.29	0
109	2003	4	19	9.6	22.7	2.93	14.21	0.5
110	2003	4	20	10.4	14.4	1.42	6.47	1
111	2003	4	21	9.9	20.7	3.75	24.04	0
112	2003	4	22	5	22.8	4.29	26.87	0
113	2003	4	23	4.2	24.2	4.34	28.14	0
114	2003	4	24	9.4	25.9	4.45	25.06	0
115	2003	4	25	13.8	23	5.76	25.77	0
116	2003	4	26	14.2	18.4	2.34	8.04	3.5
117	2003	4	27	6.1	24.9	4.54	27.39	0
118	2003	4	28	12.8	23.7	5.82	22.15	0
119	2003	4	29	13.8	20.3	3.91	18.3	0
120	2003	4	30	13.8	19.2	2.5	7.68	0.5
121	2003	5	1	4.1	21.2	3.78	19.44	0
122	2003	5	2	13.4	23.9	4.69	17.17	0
123	2003	5	3	5.6	23.1	4.52	30.55	0
124	2003	5	4	7.6	24.7	6.3	26.73	0
125	2003	5	5	13.5	19.7	2.77	11.11	4
126	2003	5	6	10.2	11.9	1.09	5.26	2.5
127	2003	5	7	10.6	19.9	2.77	15.14	2.5
128	2003	5	8	12.7	19.1	2.72	13.65	0
129	2003	5	9	10.9	18.2	2.42	11.56	0
130	2003	5	10	9.5	18.8	3.94	23.9	0
131	2003	5	11	6.2	23.8	4.43	28.33	0.5
132	2003	5	12	13	22	4.42	24.03	0
133	2003	5	13	14.4	19.1	5.01	18.4	0
134	2003	5	14	8.9	17.3	3.7	18.09	0
135	2003	5	15	3.3	20	3.94	27.4	0
136	2003	5	16	8.4	24.1	4.88	24.79	6
137	2003	5	17	11.5	22.7	3.97	22.25	0
138	2003	5	18	13	28.1	5.33	28.35	0
139	2003	5	19	13.9	27.5	4.9	19.14	1.5
140	2003	5	20	9.7	19.5	3.9	18.82	0.5
141	2003	5	21	9.8	19.5	2.8	11.42	0
142	2003	5	22	8.9	25.6	5.15	30.34	0
143	2003	5	23	8.4	31.9	6.16	32.53	0
144	2003	5	24	11.1	18.4	1.92	6.51	11
145	2003	5	25	10.1	17.7	2.87	14.1	16.5
146	2003	5	26	8.9	13.9	1.16	4.97	3
147	2003	5	27	12.6	22.5	4.43	22.32	0
148	2003	5	28	9.6	28.7	5.4	30.84	0
149	2003	5	29	13.6	30.8	6.27	31.42	0
150	2003	5	30	14.7	32.3	6.11	31.27	0
151	2003	5	31	14.8	31.9	6.27	30.38	0
152	2003	6	1	17.9	30.5	4.78	20.43	10.5
153	2003	6	2	17.1	26.1	4.25	20.33	0
154	2003	6	3	17.8	27.4	5.37	21.64	0.5
155	2003	6	4	18.2	28.6	6.5	24.85	0
156	2003	6	5	16.7	21.8	1.9	7.55	4.5
157	2003	6	6	15.1	27.6	5.17	26.79	0.5
158	2003	6	7	13.9	28.8	6.11	31.87	0
159	2003	6	8	16.9	26.5	3.32	13.43	0
160	2003	6	9	14.7	30.3	5.62	25.76	0
161	2003	6	10	19.2	29.8	7.03	28.45	0
162	2003	6	11	18.5	31.1	7.26	30.81	0
163	2003	6	12	19.7	30.8	6.11	25.87	0
164	2003	6	13	19.7	34.6	6.43	28.52	0
165	2003	6	14	19.2	36.9	7.14	28.3	0
166	2003	6	15	20.3	32.2	6.02	25.67	0
167	2003	6	16	19.3	33.6	5.88	23.07	3
168	2003	6	17	18.5	26.9	4.57	18.29	0
169	2003	6	18	17.3	26.2	5.51	22.39	0
170	2003	6	19	15.4	30.3	6.88	32.93	0
171	2003	6	20	15.6	35.7	6.92	33.04	0
172	2003	6	21	15.7	38.8	7.17	32.7	0
173	2003	6	22	16.6	35.7	8.23	31.31	0
174	2003	6	23	20.4	31.4	5.45	21.41	0
175	2003	6	24	20.2	32.6	7.05	26.55	0
176	2003	6	25	19.8	30	5.34	22.1	0
177	2003	6	26	19.9	26	3.69	12.62	0
178	2003	6	27	19	25.1	4.63	16.46	0
179	2003	6	28	17.1	31.1	6.14	29.09	0
180	2003	6	29	16.7	32.9	7.69	31.32	0
181	2003	6	30	20.3	31.5	5.55	20.13	0
182	2003	7	1	18.7	26.4	7.42	29.88	0
183	2003	7	2	17.2	24.4	4.26	15.69	0
184	2003	7	3	16.1	23.7	5.43	23.39	2.5
185	2003	7	4	14.2	25.2	5.38	24.82	0
186	2003	7	5	12.2	27.2	5.92	31.53	0
187	2003	7	6	11.9	30.9	6.23	31.81	0
188	2003	7	7	16.5	31.1	6.59	30.28	0
189	2003	7	8	19.3	33.2	6.93	30.19	0
190	2003	7	9	19	31.1	6.27	24.63	0
191	2003	7	10	19.1	33	7.06	31.18	0
192	2003	7	11	17	34.2	7.08	31.5	0
193	2003	7	12	16.1	37.1	6.68	31.14	0
194	2003	7	13	17.6	37.4	7.5	29.24	0
195	2003	7	14	21	32.5	5.5	19.46	0
196	2003	7	15	22.7	31.6	7.9	28.47	0
197	2003	7	16	19.5	26.2	5.7	18.9	0
198	2003	7	17	17.1	28.5	6.3	30.14	0
199	2003	7	18	12.8	36.2	6.51	31.27	0
200	2003	7	19	15.4	34.8	6.77	30.34	0
201	2003	7	20	19.4	31.1	5.96	24.69	0
202	2003	7	21	21.2	28.6	4.35	13.54	0
203	2003	7	22	17.6	31.2	6.62	28.22	0
204	2003	7	23	21.1	30.7	6.53	25.76	0
205	2003	7	24	20	27.7	4.8	15.89	0
206	2003	7	25	15.2	34	6.32	27.99	0
207	2003	7	26	17.7	35.3	6.67	28.27	0
208	2003	7	27	21.8	26.3	3.9	10.13	0
209	2003	7	28	15.1	26.9	5.37	23.76	0
210	2003	7	29	14.7	29.1	6.15	29.15	0
211	2003	7	30	14.4	31.8	6.35	29.26	0
212	2003	7	31	17.8	28	7.1	29.73	0
213	2003	8	1	13	32.2	6.1	29.86	0
214	2003	8	2	15.6	35.8	6.22	29.54	0
215	2003	8	3	16.9	38.4	7.47	29.86	0
216	2003	8	4	20.3	40	7.93	29.24	0
217	2003	8	5	17.8	39.9	7.09	27.64	0
218	2003	8	6	20.3	38.7	6.65	26.61	0
219	2003	8	7	23.8	38.5	7.25	26.28	2
220	2003	8	8	19	37.3	6.3	26.36	0
221	2003	8	9	18.7	38.8	6.83	27.33	0
222	2003	8	10	19	39.4	6.77	27.78	0
223	2003	8	11	21.8	37.7	6.22	23.61	0
224	2003	8	12	22.6	40.4	6.84	26.4	0
225	2003	8	13	22.8	40.4	6.61	24.57	0
226	2003	8	14	23.7	32.4	4.88	15.28	0
227	2003	8	15	21.1	27.8	3.89	13.53	0
228	2003	8	16	19.6	33.3	4.88	18.16	5
229	2003	8	17	19	25.7	2.07	8.44	2.5
230	2003	8	18	18.4	32.6	5.67	25.96	0
231	2003	8	19	16.1	35.9	5.57	26	0
232	2003	8	20	20.9	29.6	5.71	22.65	0
233	2003	8	21	18.2	30.3	4.93	22.75	0
234	2003	8	22	17.2	32.7	4.81	21.31	0
235	2003	8	23	18.4	35.8	5.46	23.66	0
236	2003	8	24	19.9	33.4	4.78	18.33	5
237	2003	8	25	17.4	31.3	5.11	22.63	0
238	2003	8	26	19.4	31.1	4.94	21.29	0
239	2003	8	27	17.6	36.1	6.06	23.67	0.5
240	2003	8	28	19.9	30	3.29	11.44	0.5
241	2003	8	29	14.4	29.8	4.36	19.34	0
242	2003	8	30	18.7	27.5	4.19	16.3	5.5
243	2003	8	31	16.8	25	4.45	20.44	0
244	2003	9	1	17.4	26.2	5.14	22.63	0
245	2003	9	2	14	25.8	4.56	23.04	0
246	2003	9	3	9.3	26	4.2	24.61	0
247	2003	9	4	15.4	27.4	4.7	14.28	0
248	2003	9	5	19.6	26	4.14	14.55	0
249	2003	9	6	14.7	25.9	3.13	15.88	0
250	2003	9	7	15.6	20.5	1.49	5.93	11
251	2003	9	8	13.6	21.3	1.82	8.4	15
252	2003	9	9	14.5	17.7	1.47	5.39	3.5
253	2003	9	10	14.1	22.4	3.57	15.21	0
254	2003	9	11	15.9	24.9	3.6	13.72	0
255	2003	9	12	18.1	25.4	3.51	14.81	0
256	2003	9	13	13.1	28	3.82	20.61	0
257	2003	9	14	10.6	26.8	3.9	22.43	0
258	2003	9	15	9.5	28.3	4.09	22.41	0
259	2003	9	16	9.7	30.6	3.66	21.83	0
260	2003	9	17	9.2	30.9	3.62	21.87	0
261	2003	9	18	10.1	30.6	4.49	20.97	0
262	2003	9	19	16.9	28.9	5.75	21.18	0
263	2003	9	20	18.2	28	5.09	20.31	0
264	2003	9	21	18.4	29.2	4.89	19.37	0
265	2003	9	22	18.2	24.6	2.03	6.64	20
266	2003	9	23	16.1	21.4	2.96	12.9	0.5
267	2003	9	24	8.9	21.1	2.84	20.47	0
268	2003	9	25	6.3	26.1	3.14	20.21	0
269	2003	9	26	16.4	25.1	2.74	12.94	0
270	2003	9	27	16.7	24.3	2.11	10.75	4.5
271	2003	9	28	16.1	22.1	2.16	10.93	0
272	2003	9	29	13.7	23.7	2.6	16.64	0
273	2003	9	30	12.5	23.6	2.9	13.53	0
274	2003	10	1	17.3	29	3.74	16.86	0
275	2003	10	2	17.5	26.8	3.24	14.76	0
276	2003	10	3	12.5	26.4	2.78	14.89	0.5
277	2003	10	4	14	20.1	2.13	7.83	8
