"JourJ"	"Annee"	"Mois"	"Jour"	"Tmin"	"Tmax"	"ETP"	"RAD"	"Pluie"
1	2006	1	1	-1.2	1.5	0.1	1.9	1
2	2006	1	2	-0.2	6.9	0.1	1.6	2.5
3	2006	1	3	1.1	10.5	0.4	1	30
4	2006	1	4	-0.2	1.3	0	1	10
5	2006	1	5	0.4	9.4	0.1	5.9	0
6	2006	1	6	-0.1	4.9	0.2	4.1	0
7	2006	1	7	1.4	5.8	0.3	4.9	0.5
8	2006	1	8	-0.6	5.5	0	1.4	0.5
9	2006	1	9	0	8.1	0	2	2.5
10	2006	1	10	0.8	4.8	0.4	3.3	0
11	2006	1	11	-2	4.3	0.1	2.7	0
12	2006	1	12	-2.2	7.5	0.2	4.7	0
13	2006	1	13	-2.4	9.9	0.1	8.5	0
14	2006	1	14	4.6	11.7	0.6	8.4	0
15	2006	1	15	7.5	12.2	0.9	8.3	0
16	2006	1	16	8.3	13.8	1	8.2	0.5
17	2006	1	17	8.8	13	0.9	2.2	16
18	2006	1	18	7.6	11.8	0.5	3.9	0
19	2006	1	19	7.9	13.2	0.4	4.5	2
20	2006	1	20	8.1	12.6	0.1	0.8	0.5
21	2006	1	21	11.8	14.4	1.3	4.5	0
22	2006	1	22	12.3	15.2	1.2	5.5	0
23	2006	1	23	11.9	13.3	1.1	2	0
24	2006	1	24	11.2	13.2	0.5	2.2	3.5
25	2006	1	25	9.9	16	0.7	5.3	1
26	2006	1	26	4.5	10.2	0.3	4	0
27	2006	1	27	4.8	8.9	0.1	1.2	0.5
28	2006	1	28	2.4	4.2	0.3	1.2	0
29	2006	1	29	0.1	11.2	0.4	7.8	0
30	2006	1	30	-0.2	12.6	0.4	8.9	0
31	2006	1	31	-0.2	13.8	0.3	9	0
32	2006	2	1	5.2	11.4	0.2	2.5	0
33	2006	2	2	6.3	12	0.5	4.2	7.5
34	2006	2	3	6.2	8.4	0.3	1.9	1.5
35	2006	2	4	3.8	9.6	0.5	5.6	0
36	2006	2	5	0.4	12.7	0.4	4.2	1
37	2006	2	6	1.6	14.8	0.7	9.6	0
