"","TemperatureAirMin","TemperatureAirMax","TemperatureAirMean","Radiation","PET","Rainfall","ThermalTime","WaterStress","WaterStressConductance","WaterStressRUE","WaterSupplyDemandRatio....WaterDemand.WaterAvailable","ThermalStressRUE....ThermalStressRUE","NitrogenAbsorbed....NitrogenAbsorbed","NitrogenNutritionIndex....NNI","NitrogenStressRUE....NitrogenStressRUE","LAI","RIE","RUE","CropBiomass","CropYield","TerpeneStressRUE","pest_resistance_genetic","WaterAvailable"
"1",12,18.2,15.1,19.44,4.3,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,76.83
"2",12.4,16.1,14.25,10.05,3.6,0,9.45,0.645535472659914,1,0.993826484506961,0,0.62171052631579,0,0,1,0,0,0.617872386749394,0,0,1,0,75.3388311754569
"3",10.9,14.4,12.65,2.09,0.8,19,17.300000000004,0.348734289254735,0.999999999994885,0.915515331567746,0,0.516447368421053,0,0,1,0,0,0.47281548373729,0,0,1,0,76.83
"4",9.5,16.1,12.8,7.61,1.9,2.5,25.3000006357811,0.236296029746911,0.999999205278656,0.784676225117719,0,0.526315789473684,0,0,1,0,0,0.412987486904063,0,0,1,0,76.83
"5",4.1,19,11.55,19.72,2.6,0,32.0500503142576,0.181074178891548,0.999926402257003,0.669759553740972,0,0.444078947368421,0,0,1,0,0,0.297426117615234,0,0,1,0,76.003623162491
"6",10,21.4,15.7,20.91,3.1,0,42.9507914957209,0.137096790409905,0.999320017006145,0.546591851697316,0,0.717105263157895,0,0,1,0,0,0.391963893651365,0,0,1,0,75.1729806659545
"7",8.9,24.7,16.8,20.87,3.9,2.5,54.9555718374156,0.111898114633726,0.99601638192108,0.462702122663517,0,0.789473684210526,0,0,1,0,0,0.365291149471198,0,0,1,0,76.7523155537053
"8",11.9,16.1,14,8.96,2.2,1.5,64.1656130982752,0.0959688223115333,0.989085586022157,0.404870325221517,0,0.605263157894737,0,0,1,0,0,0.245053091581445,0,0,1,0,76.83
"9",5,20.2,12.6,23.6,3.2,0,71.9816261855172,0.0843159853584963,0.979470400971774,0.360372589767282,0,0.513157894736842,0,0,1,0,0,0.184928039485842,0,0,1,0,76.2019629814995
"10",4.5,25.1,14.8,23.35,3.3,0,82.0140523432477,0.0737567986024587,0.96757384226952,0.318576192420268,0,0.657894736842105,0,0,1,0,0,0.209589600276492,0,0,1,0,75.5991327963502
"11",10.2,22,16.1,18.82,3.3,0,93.3691669229418,0.0648603994147948,0.951226035668978,0.282365160891352,0,0.743421052631579,0,0,1,0,0,0.209916205136334,0,0,1,0,75.0329423080126
"12",11.5,18.2,14.85,14.27,2.7,0,103.487862708558,0.0583474265702365,0.931645984461256,0.255328536943967,0,0.661184210526316,0,0,1,0,0,0.168819197124136,0,0,1,0,74.594792625558
"13",11.5,20.8,16.15,18.5,3.5,0,114.936687538328,0.0524938924561288,0.912929665400693,0.230682463602652,0,0.746710526315789,0,0,1,0,0,0.172253023808559,0,0,1,0,74.0545776699034
"14",6.1,22.5,14.3,24.41,3.6,0,124.539026395975,0.0481224765352017,0.892274886687714,0.21207978788955,0,0.625,0,0,1,0,0,0.132549867430969,0,0,1,0,73.523661100687
"15",5.6,23.3,14.45,24.99,3.8,0,134.3104746739,0.0443364085503176,0.874146862253824,0.195842387086472,0,0.634868421052632,0,0,1,0,0,0.124334147064767,0,0,1,0,72.9861523914473
"16",4,24.6,14.3,25.45,4.2,0,143.946901338694,0.041067441304291,0.85639298442735,0.181735419733453,0,0.625,0,0,1,0,0,0.113584637333408,0,0,1,0,72.4145067239455
"17",10.1,23.8,16.95,25.01,5,0,156.291994200994,0.0377250615044355,0.839429742962781,0.167233934134195,0,0.799342105263158,0,0,1,1.6449094858065,0.772457566527529,0.133677124982267,123.961452752237,49.5845811008949,1,0,71.7578769267781
"18",8.4,21.4,14.9,19.7,3.9,0,166.573343033422,0.0339297354211595,0.820446700566532,0.150679418694487,0.0526375291625816,0.664473684210526,0.682704709345625,0.133054153233338,0.133054153233338,2.90762814033186,0.926968565892052,0.0133217155846891,135.638488992461,54.2553955969843,1,0,68.6791623554911
"19",10.6,18.2,14.4,20.43,4,1,176.36839838649,0.0308566227223784,0.796817340554159,0.137212415832321,0.0673161435572681,0.631578947368421,1.49557907309245,0.276648978293492,0.150363739542396,4.01829007379194,0.973122373482145,0.0130305928144383,148.073358603078,59.2293434412312,1,0,66.0978018221819
"20",8.9,10.3,9.6,2.32,0.7,12,181.275898028609,0.0345969108646593,0.776042412253278,0.153595921941624,0.0106393699560719,0.315789473684211,1.61303869304296,0.28357632204174,0.0206497011867401,4.64325596787017,0.984685119952518,0.00100159259734623,148.183187773557,59.2732751094229,1,0,76.83
"21",8.2,18.7,13.45,18.49,2.9,5,190.097918001673,0.0329618846835994,0.801132979116228,0.146443884231744,0.0446011221844952,0.569078947368421,2.10409233398883,0.36974576704032,0.0862913676346471,5.7224087940801,0.994201568996547,0.00719136134214169,154.528656439313,61.811462575725,1,0,76.83
"22",11.7,16.8,14.25,7.74,1.7,2.5,199.745958424333,0.0313901702558219,0.790433415175086,0.139554316950033,0.0263981673923332,0.62171052631579,2.37828537763562,0.40788762289025,0.0470254536473326,6.84435061722568,0.997887568352571,0.00408004064773216,156.041271081586,62.4165084326345,1,0,76.83
"23",6.2,22.8,14.5,22.42,3.6,0,209.659596090598,0.0286268605898448,0.779754983231112,0.127408995241534,0.0586783691820935,0.638157894736842,2.96898571756128,0.506326908513097,0.100737256903298,7.88645106695046,0.999173082776336,0.00819064980583837,164.848431956367,65.9393727825469,1,0,73.4661572121303
"24",11.6,21.3,16.45,13.05,2.9,6,221.589139294298,0.0284410267759601,0.760048752189459,0.126590801930702,0.0452626675549926,0.766447368421053,3.39503694895738,0.560837580786212,0.0703808369392136,9.10452009770752,0.999723712367437,0.00682871386567284,169.124756499718,67.6499025998871,1,0,76.8209766655284
"25",9.8,16.1,12.95,14.03,2.8,3.5,229.935814180235,0.0273696641311521,0.75868112154888,0.121870455920267,0.0437208339653077,0.536184210526316,3.78801092526916,0.616528069362402,0.0639595533658478,10.5471017627805,0.999924576494425,0.00417943792253903,171.939144887223,68.7756579548891,1,0,76.83
"26",5.1,17.4,11.25,11.52,2,10.5,236.546617012749,0.0264998654829163,0.750693282925189,0.11803411728361,0.031235441671048,0.424342105263158,4.02589286910639,0.649002918313051,0.038348282178362,11.8486113633335,0.999976622820044,0.00192074449696804,173.001214935483,69.2004859741933,1,0,76.83
"27",8.3,15.7,12,18.3,3.4,2,243.930879629098,0.0252854650389264,0.744079699515307,0.112672001489493,0.0538287231048648,0.473684210526316,4.42406590838714,0.710648555401628,0.0639595116854605,13.6253465608457,0.999995275798022,0.00341357977700121,175.999689246136,70.3998756984543,1,0,75.7941928727835
"28",9.2,16.1,12.65,16.68,3.2,0,251.989175152754,0.0235310377353197,0.734655383877781,0.10491390501036,0.0526218641964211,0.516447368421053,4.79426188791004,0.76247682692446,0.0588757690769088,15.7555581943742,0.99999930545048,0.00319003695579748,178.553758660497,71.4215034641986,1,0,72.9731247211414
"29",8.2,18.6,13.4,13.7,2.5,1.5,260.829411921805,0.0225206009108531,0.720654919708106,0.100439878356978,0.0414873426858677,0.56578947368421,5.07055734359026,0.799708069714676,0.04357621668795,18.2217919531525,0.999999924536199,0.00247634165586824,180.182200810507,72.0728803242028,1,0,72.3111609983487
"30",12,18.4,15.2,14.99,3.2,1,271.528526943338,0.0211596995670423,0.712389402371463,0.0944076669102618,0.0544097461518655,0.684210526315789,6.19489439280454,0.971902749059946,0.176394656585356,22.2665151654739,0.999999998019395,0.0113941633572413,188.380529213072,75.3522116852287,1,0,70.5755858426725
"31",11.6,17.5,14.55,11.46,2.8,8,281.570022805352,0.0220637425823187,0.701029885114224,0.098415649161774,0.0440828452391827,0.641447368421053,7.05808695161891,1.07911546115264,0.131974066422466,26.9058530822734,0.99999999996956,0.00833131946315718,192.963421423226,77.1853685692903,1,0,76.2201254278083
"32",9.9,16.6,13.25,16.08,3.2,1.5,290.26625180386,0.0210490684322154,0.708604735493624,0.0939169821902015,0.0512006258451578,0.555921052631579,8.04152560008714,1.21245255229153,0.148276926376323,31.4271127271822,0.99999999999948,0.0077416017291967,198.938699301886,79.5754797207543,1,0,74.9990832435552
