"","TemperatureAirMin","TemperatureAirMax","TemperatureAirMean","Radiation","PET","Rainfall","ThermalTime","WaterStress","WaterStressConductance","WaterStressRUE","WaterSupplyDemandRatio....WaterDemand.WaterAvailable","ThermalStressRUE....ThermalStressRUE","NitrogenAbsorbed....NitrogenAbsorbed","NitrogenNutritionIndex....NNI","NitrogenStressRUE....NitrogenStressRUE","LAI","RIE","RUE","CropBiomass","CropYield","TerpeneStressRUE","pest_resistance_genetic","WaterAvailable"
"1",2.4,21.7,12.05,20.3,2.8,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1.25,128.373502652715
"2",6.3,22,14.15,20.1,3,0,9.35,0.652242106100956,1,0.994185098050847,0,0.615131578947368,0,0,1,0,0,0.305777324564981,0,0,0.5,1.25,128.373502652715
"3",5.3,22.2,13.75,20.3,3.7,0,18.3000000000035,0.325650047508135,0.999999999996096,0.897123801954092,0,0.588815789473684,0,0,1,0,0,0.264120329851616,0,0,0.5,1.25,128.373502652715
"4",8.9,16.8,12.85,14.9,3.9,0,26.350001620998,0.219829238575174,0.999997986342177,0.754678575807151,0,0.529605263157895,0,0,1,0,0,0.199840872869986,0,0,0.5,1.25,128.373502652715
"5",5,18.8,11.9,21.5,3.5,0,33.4501030394262,0.168227117205509,0.999857157143377,0.636826141933508,0,0.467105263157895,0,0,1,0,0,0.148732421306839,0,0,0.5,1.25,128.373502652715
"6",2.4,22.1,12.25,21.5,3.1,0,40.9009525423891,0.135229204433132,0.998859727566635,0.540704540727628,0,0.490131578947368,0,0,1,0,0,0.132508185145422,0,0,0.5,1.25,128.373502652715
"7",3.3,23,13.15,19.8,4,0,49.2545375937416,0.111217439101952,0.995706525326405,0.460304861347522,0,0.549342105263158,0,0,1,0,0,0.126432420797757,0,0,0.5,1.25,128.373502652715
"8",12,19.5,15.75,16.6,5.3,0,60.2168173192067,0.0912825800040991,0.988785638844588,0.38718941796157,0,0.720394736842105,0,0,1,0,0,0.139464609430237,0,0,0.5,1.25,128.373502652715
"9",10.2,18.1,14.15,21.9,4.9,0,69.5899013695045,0.0783664248837282,0.975311176152122,0.336987109365607,0,0.615131578947368,0,0,1,0,0,0.103645706334488,0,0,0.5,1.25,128.373502652715
"10",4.8,22.4,13.6,22.3,3.5,0,78.4258470557268,0.0690276111787418,0.959152629292856,0.299434744555891,0,0.578947368421053,0,0,1,0,0,0.0866784786872316,0,0,0.5,1.25,128.373502652715
"11",3.7,24.1,13.9,21.5,3.7,0,87.5789999448928,0.0614291374384792,0.941590231685689,0.268174098053694,0,0.598684210526316,0,0,1,0,0,0.0802757990884412,0,0,0.5,1.25,128.373502652715
"12",9.5,20.2,14.85,21,4.5,0,97.7070853323834,0.0548206616342922,0.922303097024258,0.240516695249708,0,0.661184210526316,0,0,1,0,0,0.0795129206335383,0,0,0.5,1.25,128.373502652715
"13",1.2,19.6,10.4,23.1,3.3,0,103.362549476602,0.0509181771935563,0.900956885323407,0.223995603731865,0,0.368421052631579,0,0,1,0,0,0.0412623480558699,0,0,0.5,1.25,128.373502652715
"14",1.9,23.3,12.6,22.9,3.5,0,111.251452848081,0.0468804735728286,0.886021318617498,0.206765600514222,0,0.513157894736842,0,0,1,0,0,0.0530517001319385,0,0,0.5,1.25,128.373502652715
"15",4,23.5,13.75,22.6,3.8,0,120.319109542466,0.0431085452583831,0.868540006273113,0.190552804601004,0,0.588815789473684,0,0,1,0,0,0.0561002500387825,0,0,0.5,1.25,128.373502652715
"16",3.8,22.9,13.35,23.3,3.8,0,128.99718569871,0.0399427152925182,0.850203326030951,0.176864089800739,0,0.5625,0,0,1,0,0,0.049743025256458,0,0,0.5,1.25,128.373502652715
