JourJ	Annee	Mois	Jour	Tmin	Tmax	ETP	RAD	Pluie
91	2003	4	1	9.7	18.8	2.34	12.69	2
92	2003	4	2	8.2	11.6	2.04	6.93	2.5
93	2003	4	3	4.2	10.7	3.52	13.4	0
94	2003	4	4	1.7	13.2	3.6	23.54	0
95	2003	4	5	-0.7	16.8	3.39	24.91	0
96	2003	4	6	6	18.4	4.55	24.76	0
97	2003	4	7	2.6	15.1	3.23	25.2	0
98	2003	4	8	3.1	15.5	3.88	24.87	0
99	2003	4	9	7.8	15.4	1.97	8.09	7
100	2003	4	10	5.3	13.3	2.82	16.55	0.5
101	2003	4	11	3.2	16.7	2.26	12.1	3.5
102	2003	4	12	2.8	17.8	2.56	17.43	0
103	2003	4	13	9.1	16.9	4.43	24.03	0
104	2003	4	14	12	18.1	6.48	20.23	0
105	2003	4	15	12.8	17.4	4.13	7.96	0
106	2003	4	16	10.7	21.2	4.96	24.11	0
107	2003	4	17	7	24.3	3.8	23.76	0
108	2003	4	18	10.8	25.8	4.34	24.29	0
109	2003	4	19	9.6	22.7	2.93	14.21	0.5
110	2003	4	20	10.4	14.4	1.42	6.47	1
111	2003	4	21	9.9	20.7	3.75	24.04	0
112	2003	4	22	5	22.8	4.29	26.87	0
113	2003	4	23	4.2	24.2	4.34	28.14	0
114	2003	4	24	9.4	25.9	4.45	25.06	0
115	2003	4	25	13.8	23	5.76	25.77	0
116	2003	4	26	14.2	18.4	2.34	8.04	3.5
117	2003	4	27	6.1	24.9	4.54	27.39	0
118	2003	4	28	12.8	23.7	5.82	22.15	0
119	2003	4	29	13.8	20.3	3.91	18.3	0
120	2003	4	30	13.8	19.2	2.5	7.68	0.5
121	2003	5	1	4.1	21.2	3.78	19.44	0
122	2003	5	2	13.4	23.9	4.69	17.17	0
123	2003	5	3	5.6	23.1	4.52	30.55	0
124	2003	5	4	7.6	24.7	6.3	26.73	0
125	2003	5	5	13.5	19.7	2.77	11.11	4
126	2003	5	6	10.2	11.9	1.09	5.26	2.5
127	2003	5	7	10.6	19.9	2.77	15.14	2.5
128	2003	5	8	12.7	19.1	2.72	13.65	0
129	2003	5	9	10.9	18.2	2.42	11.56	0
130	2003	5	10	9.5	18.8	3.94	23.9	0
131	2003	5	11	6.2	23.8	4.43	28.33	0.5
132	2003	5	12	13	22	4.42	24.03	0
133	2003	5	13	14.4	19.1	5.01	18.4	0
134	2003	5	14	8.9	17.3	3.7	18.09	0
135	2003	5	15	3.3	20	3.94	27.4	0
136	2003	5	16	8.4	24.1	4.88	24.79	6
137	2003	5	17	11.5	22.7	3.97	22.25	0
138	2003	5	18	13	28.1	5.33	28.35	0
139	2003	5	19	13.9	27.5	4.9	19.14	1.5
140	2003	5	20	9.7	19.5	3.9	18.82	0.5
141	2003	5	21	9.8	19.5	2.8	11.42	0
142	2003	5	22	8.9	25.6	5.15	30.34	0
143	2003	5	23	8.4	31.9	6.16	32.53	0
144	2003	5	24	11.1	18.4	1.92	6.51	11
145	2003	5	25	10.1	17.7	2.87	14.1	16.5
146	2003	5	26	8.9	13.9	1.16	4.97	3
147	2003	5	27	12.6	22.5	4.43	22.32	0
148	2003	5	28	9.6	28.7	5.4	30.84	0
149	2003	5	29	13.6	30.8	6.27	31.42	0
150	2003	5	30	14.7	32.3	6.11	31.27	0
151	2003	5	31	14.8	31.9	6.27	30.38	0
152	2003	6	1	17.9	30.5	4.78	20.43	10.5
153	2003	6	2	17.1	26.1	4.25	20.33	0
154	2003	6	3	17.8	27.4	5.37	21.64	0.5
155	2003	6	4	18.2	28.6	6.5	24.85	0
156	2003	6	5	16.7	21.8	1.9	7.55	4.5
157	2003	6	6	15.1	27.6	5.17	26.79	0.5
158	2003	6	7	13.9	28.8	6.11	31.87	0
159	2003	6	8	16.9	26.5	3.32	13.43	0
160	2003	6	9	14.7	30.3	5.62	25.76	0
