"","TemperatureAirMin","TemperatureAirMax","TemperatureAirMean","Radiation","PET","Rainfall","ThermalTime","WaterStress","WaterStressConductance","WaterStressRUE","WaterSupplyDemandRatio....WaterDemand.WaterAvailable","ThermalStressRUE....ThermalStressRUE","NitrogenAbsorbed....NitrogenAbsorbed","NitrogenNutritionIndex....NNI","NitrogenStressRUE....NitrogenStressRUE","LAI","RIE","RUE","CropBiomass","CropYield","TerpeneStressRUE","pest_resistance_genetic","WaterAvailable"
"1",1.1,19.4,10.25,20.3,2.8,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,10.3784854137888,76.83
"2",1.7,22.8,12.25,20.1,3,0,7.45,0.753406187863554,1,0.997644533843923,0,0.490131578947368,0,0,1,0,0,0.387480258551519,0,0,0.792430291724224,10.3784854137888,75.5873593128807
"3",6.7,21.7,14.2,20.3,3.7,1.3,16.8500000000001,0.349503458760194,0.999999999999934,0.916070609625345,0,0.618421052631579,0,0,1,0,0,0.448925509473603,0,0,0.792430291724224,10.3784854137888,75.7113615056563
"4",7.8,21.1,14.45,14.9,3.9,0,26.5000007435129,0.222903951850085,0.999999229520333,0.76054018932934,0,0.634868421052632,0,0,1,0,0,0.382619379049216,0,0,0.792430291724224,10.3784854137888,74.6663596551749
"5",5,23.9,14.45,21.5,3.5,1.3,36.1501225337875,0.165756423456736,0.999873792461648,0.63020733154874,0,0.634868421052632,0,0,1,0,0,0.317050356118688,0,0,0.792430291724224,10.3784854137888,75.1401217339257
"6",12.8,20.6,16.7,21.5,3.1,9.1,48.0516212492949,0.130200588215855,0.998740575203868,0.524587120240774,0,0.782894736842105,0,0,1,0,0,0.325448343700874,0,0,0.792430291724224,10.3784854137888,76.83
"7",6.1,20,13.05,19.8,4,0,56.3059543725312,0.107857230021002,0.994747729410529,0.448372267137811,0,0.542763157894737,0,0,1,0,0,0.19284579428979,0,0,0.792430291724224,10.3784854137888,75.1731457505076
"8",4.4,19.4,11.9,16.6,5.3,0,63.4150556381128,0.0925048252847576,0.987181316082219,0.391829122823068,0,0.467105263157895,0,0,1,0,0,0.145034907193657,0,0,0.792430291724224,10.3784854137888,73.48860835097
"9",8.9,24.4,16.65,21.9,4.9,0,75.2929396679407,0.0775420727670074,0.976469173141001,0.333712999560853,0,0.779605263157895,0,0,1,0,0,0.206162159979667,0,0,0.792430291724224,10.3784854137888,72.1756573080575
"10",16.1,27.2,21.65,22.3,3.5,0,92.2139930049924,0.0643885648108063,0.957831847447076,0.280420891620877,0,1,0,0,1,0,0,0.222214008952698,0,0,0.792430291724224,10.3784854137888,71.3494193868082
"11",15.6,28.9,22.25,21.5,3.7,0,109.785399879404,0.0546833079757688,0.930425859936162,0.239937508963149,0,1,0,0,1,0,0,0.190133750223252,0,0,0.792430291724224,10.3784854137888,70.5597588552597
"12",17.8,25,21.4,21,4.5,0.3,126.550632699835,0.0477460138680311,0.900462156366951,0.210470316768712,0,1,0,0,1,0,0,0.166783054516321,0,0,0.792430291724224,10.3784854137888,69.9765817979933
"13",12.8,26.1,19.45,23.1,3.3,1,141.387465116449,0.0433096958899794,0.872469340195301,0.191420119928849,0,0.963815789473684,0,0,1,0,0,0.14619842346313,0,0,0.792430291724224,10.3784854137888,70.373751612844
"14",7.2,27.8,17.5,22.9,3.5,0,154.276400261645,0.0394595735201967,0.851232169136514,0.174768863617757,0,0.835526315789474,0,0,1,1.78654186278495,0.799689712367094,0.115713828820909,101.714646208567,40.685858483427,0.792430291724224,10.3784854137888,69.7732465494557
"15",16.7,22.2,19.45,22.6,3.8,29.5,169.174705528192,0.0398595809685676,0.830508350479877,0.176503677316797,0.0474630364231934,0.963815789473684,0.571016033239696,0.124815256876725,0.124815256876725,3.9427153808203,0.971230625490965,0.0168258316116483,119.442190668212,47.7768762672848,0.792430291724224,10.3784854137888,76.83
"16",12.2,21.7,16.95,23.3,3.8,1.3,181.527897213488,0.0360040794732145,0.832764045023658,0.159738420358938,0.0595297895358164,0.799342105263158,1.26398045300191,0.251704311601899,0.137994327227617,5.5882827869186,0.993457621589052,0.0139625383043342,134.95572967065,53.98229186826,0.792430291724224,10.3784854137888,74.3965615664437
"17",7.2,26.1,16.65,22.5,4.2,0,193.603037342746,0.0319299400605788,0.810008329740475,0.141921941860935,0.0711912024991731,0.779605263157895,2.03301245742742,0.377164551273268,0.142670847787605,7.02145767450389,0.99819881753913,0.0125089431230237,148.441054883442,59.3764219533767,0.792430291724224,10.3784854137888,70.3320949364071
"18",8.3,26.7,17.5,18.9,4.7,0,206.57803589998,0.0280981766827271,0.783465702964876,0.125080842457862,0.0854053914654252,0.835526315789474,2.87690704388902,0.505040596219673,0.148145566954773,8.36569350719086,0.99946279143866,0.0122687596840787,159.565294420017,63.8261177680068,0.792430291724224,10.3784854137888,65.9190390011833
"19",10,28.3,19.15,4.8,1.3,0,221.277969228544,0.0258663367833545,0.756144021907148,0.115237645997765,0.0240834693471235,0.944078947368421,3.09216814637352,0.520547788828511,0.0362379035080959,9.73238612138474,0.999842981591712,0.00312411364900564,160.284977183559,64.1139908734238,0.792430291724224,10.3784854137888,64.7399231469338
"20",11.1,31.7,21.4,15.2,3,0,238.310912582122,0.023180037470179,0.739190750856653,0.103360212936305,0.0579813756518797,1,3.59214243422397,0.603139138539878,0.083948247261347,12.0564187204649,0.999980610460695,0.00687584530236031,165.301496646274,66.1205986585097,0.792430291724224,10.3784854137888,62.0791537500106
"21",11.7,30,20.85,24.9,4.1,0,254.81384323431,0.0205510211804292,0.717800216705394,0.0917074204612687,0.0840325157597748,1,4.26813588656572,0.703946250548736,0.111492011692807,15.1906675819162,0.999998845220133,0.00810231825719103,174.985376244507,69.9941504978027,0.792430291724224,10.3784854137888,58.5476295572447
"22",14.4,24.4,19.4,24.3,4.6,1.5,269.857877743799,0.0186870366668865,0.695866774322367,0.0834301025863797,0.0982092585453638,0.960526315789474,4.98957374074603,0.796203761787995,0.115122365805287,18.594918572614,0.99999994606179,0.00731059659868085,183.512455657273,73.4049822629091,0.792430291724224,10.3784854137888,56.2064484283363
"23",9.4,22.2,15.8,23.3,3.3,0,281.210153400151,0.0170582017719593,0.67974940331662,0.0761875262392653,0.073998437051485,0.723684210526316,5.48464854498897,0.851382235542876,0.0768504836982496,21.2302522976713,0.999999994966887,0.0033576903593507,187.26769653627,74.907078614508,0.792430291724224,10.3784854137888,53.5146409058544
"24",6.1,25.6,15.85,24.4,4.2,0,292.629993057285,0.0153540402748765,0.665303477706665,0.0686014090798115,0.100475440926829,0.726973684210526,6.10947022285916,0.937296265514275,0.0958582338430683,24.0133246859001,0.999999999588821,0.00378828128082402,191.704531570547,76.6818126282187,0.792430291724224,10.3784854137888,50.1615113916591
"25",11.7,28.9,20.3,22.1,4.9,0,308.672724132701,0.0134975358577914,0.649850919086506,0.0603281250059404,0.1268871550885,1,6.82805861045912,1.03340904521673,0.108756497549099,30.0294221897091,0.99999999999817,0.00536744572288366,197.398317993371,78.9593271973485,0.792430291724224,10.3784854137888,46.3403879886906
"26",16.1,30,23.05,14.4,3.1,0,327.593133224788,0.0121442812055429,0.632652552280831,0.0542922191204682,0.0845705941265632,1,7.25456538020493,1.07947850103386,0.0634641586858224,36.7858451229006,0.999999999999996,0.00301152682528883,199.479885335011,79.7919541340044,0.792430291724224,10.3784854137888,43.9869204942094
"27",16.7,30.6,23.65,15.4,3.6,31.8,347.159627442426,0.0191599348059678,0.619896966770129,0.0855312175398641,0.059089879943975,1,7.53494758268198,1.11439857918452,0.0414677772659214,47.9835148579659,1,0.00330515829787867,201.923058348803,80.7692233395211,0.792430291724224,10.3784854137888,73.1089655977625
"28",15,28.9,21.95,6.1,1.4,0,364.851771092372,0.0180103111448457,0.683881253676362,0.0804220841345631,0.0233462888726904,1,7.65379974878181,1.12401229638359,0.0174542450198416,57.2392162980409,1,0.00138150842788945,202.327564016489,80.9310256065955,0.792430291724224,10.3784854137888,71.9600450915862
"29",17.2,28.9,23.05,16.7,4.2,0,383.6971091008,0.0163861653876319,0.673787392641686,0.0731969435776072,0.0735077954360536,1,8.01916603975691,1.17630264399742,0.0535942680287201,70.8585315063591,1,0.00407949461301217,205.597686898279,82.2390747593118,0.792430291724224,10.3784854137888,68.5641566326721
"30",16.1,27.2,21.65,20.5,3.8,0,401.121273207996,0.0150307709501733,0.659249788014498,0.0671614450166262,0.069556752160196,1,9.25876479973626,1.34556375378083,0.18014920961243,84.7477933552822,1,0.0132052839002813,218.591686256156,87.4366745024625,0.792430291724224,10.3784854137888,65.557977599326
"31",13.9,27.2,20.55,25.5,4,0,417.427433093429,0.0137868590289286,0.646882612423251,0.0616180326084541,0.0768578695983592,1,10.5411760782102,1.47843880946549,0.179862909956636,97.9875930830296,1,0.0126304359392012,234.051339845738,93.6205359382954,0.792430291724224,10.3784854137888,62.4529410596944
