"","TemperatureAirMin","TemperatureAirMax","TemperatureAirMean","Radiation","PET","Rainfall","ThermalTime","WaterStress","WaterStressConductance","WaterStressRUE","WaterSupplyDemandRatio....WaterDemand.WaterAvailable","ThermalStressRUE....ThermalStressRUE","NitrogenAbsorbed....NitrogenAbsorbed","NitrogenNutritionIndex....NNI","NitrogenStressRUE....NitrogenStressRUE","LAI","RIE","RUE","CropBiomass","CropYield","TerpeneStressRUE","pest_resistance_genetic","WaterAvailable"
"1",7.8,29.4,18.6,20.3,2.8,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,2.45527589557884,76.83
"2",8.3,29.4,18.85,20.1,3,0,14.05,0.489614100866235,1,0.975309119168229,0,0.924342105263158,0,0,1,0,0,0.85724971312195,0,0,0.950894482088423,2.45527589557884,75.5873593128807
"3",13.9,28.9,21.4,20.3,3.7,0,30.6500000045307,0.225730095042906,0.999999997270665,0.765820816770572,0,1,0,0,1,0,0,0.728214788935586,0,0,0.950894482088423,2.45527589557884,74.4113615056563
"4",13.9,29.4,21.65,14.9,3.9,0,47.5001897880227,0.144717955927921,0.999887368847501,0.570060761249604,0,1,0,0,1,0,0,0.542067632327375,0,0,0.950894482088423,2.45527589557884,73.3663596551749
"5",11.7,23.3,17.5,21.5,3.5,0,60.2039157250966,0.111551104796852,0.997066191280319,0.461480835893371,0,0.835526315789474,0,0,1,0,0,0.366645307341783,0,0,0.950894482088423,2.45527589557884,72.5401217339257
"6",10.6,15.6,13.1,21.5,3.1,1,68.5131007731,0.0961997350249773,0.988933677104424,0.405733913857077,0,0.546052631578947,0,0,1,0,0,0.210672642172864,0,0,0.950894482088423,2.45527589557884,72.8785142615472
"7",8.9,17.8,13.35,19.8,4,55.6,77.0804944012123,0.088624963447826,0.979656575307211,0.377033217531331,0,0.5625,0,0,1,0,0,0.201666828439455,0,0,0.950894482088423,2.45527589557884,76.83
"8",8.3,20,14.15,16.6,5.3,0,86.4561148833622,0.0759408507523632,0.972598414812955,0.327330355899208,0,0.615131578947368,0,0,1,0,0,0.191463781805065,0,0,0.950894482088423,2.45527589557884,74.6346681194226
"9",7.2,21.1,14.15,21.9,4.9,0,95.8480507165814,0.0665131796846543,0.955148841476801,0.289157344780962,0,0.615131578947368,0,0,1,0,0,0.169135424719122,0,0,0.950894482088423,2.45527589557884,73.0772656179633
"10",3.9,23.9,13.9,22.3,3.5,0,105.006504447955,0.0594950006943784,0.935765130358239,0.260122812671552,0,0.598684210526316,0,0,1,0,0,0.148084148673406,0,0,0.950894482088423,2.45527589557884,72.1394434444543
"11",8.3,23.9,16.1,21.5,3.7,0,116.40082091108,0.0530099684188797,0.916534103429141,0.232867839939281,0,0.743421052631579,0,0,1,0,0,0.164617763671808,0,0,0.950894482088423,2.45527589557884,71.2659919277051
