"","TemperatureAirMin","TemperatureAirMax","TemperatureAirMean","Radiation","PET","Rainfall","ThermalTime","WaterStress","WaterStressConductance","WaterStressRUE","WaterSupplyDemandRatio....WaterDemand.WaterAvailable","ThermalStressRUE....ThermalStressRUE","NitrogenAbsorbed....NitrogenAbsorbed","NitrogenNutritionIndex....NNI","NitrogenStressRUE....NitrogenStressRUE","LAI","RIE","RUE","CropBiomass","CropYield","TerpeneStressRUE","pest_resistance_genetic","WaterAvailable"
"1",16.7,21.1,18.9,20.3,2.8,32.5,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0.561751595567744,76.83
"2",11.7,19.4,15.55,20.1,3,0.5,10.75,0.59744539307901,1,0.990521598111248,0,0.707236842105263,0,0,1,0,0,0.692662852351086,0,0,0.988764968088645,0.561751595567744,76.0873593128807
"3",7.8,22.2,15,20.3,3.7,0,20.9500000000362,0.299400536383863,0.999999999964522,0.871628382048273,0,0.671052631578947,0,0,1,0,0,0.578337053650224,0,0,0.988764968088645,0.561751595567744,74.9113615056563
"4",4.4,25.6,15,14.9,3.9,0,31.1500059118387,0.198004204895464,0.999994204115138,0.709446610635039,0,0.671052631578947,0,0,1,0,0,0.470727285810299,0,0,0.988764968088645,0.561751595567744,73.8663596551749
"5",8.3,22.8,15.55,21.5,3.5,0,41.9003756769023,0.145960847494601,0.999656032498981,0.573803336533429,0,0.707236842105263,0,0,1,0,0,0.401255516820317,0,0,0.988764968088645,0.561751595567744,73.0401217339257
"6",3.3,18.9,11.1,21.5,3.1,0.8,48.2021339846156,0.123754924188926,0.997209035375826,0.503365266332582,0,0.414473684210526,0,0,1,0,0,0.20628767312265,0,0,0.988764968088645,0.561751595567744,73.1785142615472
"7",8.9,22.2,15.55,19.8,4,9.1,58.9594423865791,0.106905440238774,0.993201486545527,0.444962788929786,0,0.707236842105263,0,0,1,0,0,0.311158479691812,0,0,0.988764968088645,0.561751595567744,76.83
"8",9.4,17.8,13.6,16.6,5.3,0,67.7711577717813,0.0899151661596802,0.986687062270217,0.381975312771333,0,0.578947368421053,0,0,1,0,0,0.218659046703841,0,0,0.988764968088645,0.561751595567744,74.6346681194226
"9",3.9,17.8,10.85,21.9,4.9,0,73.8369181581232,0.0795253391684169,0.973949774641619,0.341576249539243,0,0.398026315789474,0,0,1,0,0,0.134428862389923,0,0,0.988764968088645,0.561751595567744,73.0772656179633
"10",1.1,16.1,8.6,22.3,3.5,0,77.651759959908,0.0729158514304862,0.960942626881965,0.315190845247071,0,0.25,0,0,1,0,0,0.0779124165106383,0,0,0.988764968088645,0.561751595567744,72.1394434444543
"11",5.6,22.8,14.2,21.5,3.7,3.6,87.0991073444043,0.0677121981890337,0.949630442025219,0.294066659610242,0,0.618421052631579,0,0,1,0,0,0.179813843833637,0,0,0.988764968088645,0.561751595567744,74.8659919277051
"12",13.3,25,19.15,21,4.5,2.8,101.537205659139,0.0607574595601701,0.938607446177687,0.265382263728641,0,0.944078947368421,0,0,1,0,0,0.247726962981027,0,0,0.988764968088645,0.561751595567744,76.7055939839298
"13",11.1,20,15.55,23.1,3.3,0,112.372837708521,0.0547241169028453,0.92034227964498,0.240109607937034,0,0.707236842105263,0,0,1,0,0,0.167906491113067,0,0,0.988764968088645,0.561751595567744,76.0579308086012
"14",11.7,22.2,16.95,22.9,3.5,0,124.643597319632,0.0493362767284727,0.900609373571484,0.217261215343799,0,0.799342105263158,0,0,1,0,0,0.171714893794355,0,0,0.988764968088645,0.561751595567744,75.4185654607156
"15",8.9,20.6,14.75,22.6,3.8,0,134.713567099624,0.0453277536698247,0.879427356791186,0.200104775586115,0,0.654605263157895,0,0,1,0,0,0.129517966504313,0,0,0.988764968088645,0.561751595567744,74.7665885347511
"16",8.9,22.2,15.55,23.3,3.8,0,145.612740794258,0.041731808827122,0.861233772433593,0.184608710457938,0,0.707236842105263,0,0,1,0,0,0.129095212258349,0,0,0.988764968088645,0.561751595567744,74.1499334261113
"17",6.7,24.4,15.55,22.5,4.2,0,156.531511889087,0.0386002733358676,0.843003632717358,0.171038460188591,0,0.707236842105263,0,0,1,1.4894709300987,0.73829145997278,0.119605658192484,95.3681428885694,38.1472571554278,0.988764968088645,0.561751595567744,73.5016754793258
"18",6.1,28.3,17.2,18.9,4.7,0,169.14779161368,0.0341716950042795,0.825580867263574,0.151737431298222,0.0595851426292378,0.81578947368421,1.00513795041215,0.232661296052111,0.232661296052111,3.05834006305789,0.936232145065376,0.0284765937116966,119.554732119328,47.821892847731,0.988764968088645,0.561751595567744,69.8825856666367
"19",8.9,29.4,19.15,4.8,1.3,0,183.787101281227,0.0312027658036153,0.798390475577279,0.138731918726511,0.0212579368538781,0.944078947368421,1.33598182739955,0.265897112840146,0.0658470271732831,4.7493271133747,0.986079523621071,0.00852734726386035,121.492083357709,48.5968333430838,0.988764968088645,0.561751595567744,68.7047927718132
"20",15,29.4,22.2,15.2,3,0,201.572587800005,0.027661069872309,0.778456023690529,0.123154923606635,0.0538386253069777,1,2.14266181213217,0.422491133640767,0.159061565061383,6.57041594369469,0.997296949555163,0.0193691294394352,135.585601453233,54.2342405812933,0.988764968088645,0.561751595567744,65.9356784240881
"21",11.7,26.7,19.2,24.9,4.1,0,216.328435835123,0.0244948192453894,0.75288330894578,0.109177399640426,0.0788351071942998,0.947368421052632,3.2398390662677,0.599433988336661,0.202999384817093,7.88257616365448,0.999170193940134,0.0207605781180267,160.378054406481,64.1512217625926,0.988764968088645,0.561751595567744,62.240049724524
"22",15,22.2,18.6,24.3,4.6,1,230.503241407266,0.0219888354197413,0.728401759317169,0.0980836753889547,0.0931310654079331,0.907894736842105,4.42154588643547,0.742150302621092,0.198347839584208,11.1638434076217,0.99995670437931,0.0174643640284687,180.747606658695,72.2990426634779,0.988764968088645,0.561751595567744,59.222123642534
"23",12.8,26.7,19.75,23.3,3.3,0,245.889809207083,0.0197611030462696,0.707981404804237,0.0882011440262669,0.0701865531967881,0.983552631578947,5.22980834033172,0.819002993639514,0.126576219683312,15.1602886694602,0.999998813211695,0.0108571794214755,192.890261712895,77.1561046851579,0.988764968088645,0.561751595567744,56.4186210746032
"24",11.1,27.2,19.15,24.4,4.2,0,260.685961976573,0.0175789646411565,0.689092146696948,0.0785039976211532,0.0951919328771584,0.944078947368421,6.2446588263415,0.941738961872375,0.153046670719472,19.6083213082547,0.999999978333297,0.0112154587773729,206.02580674835,82.41032269934,0.988764968088645,0.561751595567744,52.9456001811715
"25",13.9,28.3,21.1,22.1,4.9,0,277.523931266915,0.0153881165854501,0.669957490587644,0.0687531813324103,0.119984692716947,1,7.40703637157583,1.07515662076914,0.16872306964603,25.0409859061085,0.999999999836937,0.0114699186480956,218.193096448266,87.2772385793063,0.988764968088645,0.561751595567744,49.0062502095261
"26",15.6,30,22.8,14.4,3.1,0,296.153637610413,0.0138184305543528,0.65016314250151,0.0617587775393942,0.0798494994447545,1,8.09716014177496,1.13685936425903,0.0968949183307912,30.6617084452074,0.999999999998964,0.00591688001991233,222.282843918025,88.91313756721,0.988764968088645,0.561751595567744,46.5876433197576
"27",13.9,30,21.95,15.4,3.6,0,313.928496217111,0.0123456377310677,0.635650958193566,0.0551905893439191,0.0985364796812213,1,8.88529555940315,1.23415079933231,0.109470523422101,38.7518815604751,0.999999999999999,0.00628433717167194,226.928225955325,90.7712903821299,0.988764968088645,0.561751595567744,43.8416311803639
"28",17.8,30.6,24.2,6.1,1.4,0,334.0621927121,0.0114144136866453,0.621805930418075,0.0510351234566186,0.0392550905258932,1,9.17220542822053,1.2588101340367,0.0393760315606587,47.2851200124958,1,0.00223952421048572,227.583958644155,91.033583457662,0.988764968088645,0.561751595567744,42.7969972172615
"29",15,32.2,23.6,16.7,4.2,0,353.589852943687,0.0100712933642411,0.612946685325899,0.0450385475615294,0.126927376077847,1,10.0603775080515,1.37839573327215,0.121690523468991,55.3019761160361,1,0.0065028202568378,232.796619362036,93.1186477448145,0.988764968088645,0.561751595567744,39.707745923219
"30",15.6,31.1,23.35,20.5,3.8,15,372.881783390227,0.0125720369421969,0.600037495126924,0.0562005829789012,0.0877402696529226,1,11.6667074344549,1.57762448158319,0.217215133886837,66.546294143967,1,0.0153529901445611,247.903961664284,99.1615846657137,0.988764968088645,0.561751595567744,51.9715749454402
"31",18.9,28.3,23.6,25.5,4,1,392.388761508421,0.011549450309105,0.623947809470897,0.0516378197605785,0.0960449001072257,1,13.3966964586601,1.74668706584422,0.225559298290913,83.8613719868337,1,0.0154866737156009,266.85965029218,106.743860116872,0.988764968088645,0.561751595567744,49.9766254599799
"32",19.4,30.6,25,25.6,6.3,0,413.368004465052,0.010003008667431,0.614236160083733,0.0447335892037359,0.166765931772291,1,16.1707258160446,2.02016676582452,0.346552280890781,102.710273217816,1,0.0218124795981547,293.662825222392,117.465130088957,0.988764968088645,0.561751595567744,45.3330000897469
"33",16.7,27.8,22.25,18.2,3.7,0,431.517091085876,0.00905182019579084,0.599377294656926,0.0404847552200871,0.104050067070159,1,17.6837740151709,2.08989443806847,0.178814262904001,117.421912932303,1,0.0106705625127187,302.984628633503,121.193851453401,0.988764968088645,0.561751595567744,42.6717649014701
"34",11.7,22.8,17.25,20.4,4.5,0,444.477361395744,0.00813211023602764,0.590144329423464,0.0363751372958423,0.136760845382898,0.819078947368421,19.5172086278309,2.26514264709748,0.212786111528198,127.416406582636,1,0.009647884096074,312.431836740379,124.972734696152,0.988764968088645,0.561751595567744,39.4849855225834
"35",8.3,18.9,13.6,18.7,4,3,453.645944104622,0.00799211421096187,0.581156012638673,0.0357494698379046,0.120920700303189,0.578947368421053,20.9830959778884,2.39228711731085,0.16712612031451,134.582184793738,1,0.00538095333108887,317.261780450364,126.904712180146,0.988764968088645,0.561751595567744,39.6954366619178
"36",6.7,22.8,14.75,13.6,3.1,0,464.014060080526,0.00737841762990929,0.579782938789694,0.0330064250547939,0.0990978786328808,0.654605263157895,22.0958870863414,2.49684130825291,0.125745700825907,146.011179540269,1,0.00433039273004441,320.088660824537,128.035464329815,0.988764968088645,0.561751595567744,37.5386441296201
"37",8.3,27.8,18.05,11.3,2.2,0,477.828841966536,0.00688076360028529,0.573749519992247,0.0307816895695132,0.0732845880959928,0.87171052631579,22.8620609834636,2.57016147170534,0.0861335569192152,160.435140350642,1,0.00380157500999364,322.150635109958,128.860254043983,0.988764968088645,0.561751595567744,36.0239453968406
"38",14.4,31.1,22.75,16.7,2.7,0,496.552772931472,0.00630436896508773,0.568840688057785,0.0282045686573067,0.0947897759103436,1,23.8006908861292,2.66573605884337,0.105128863250876,186.152646397467,1,0.00508200121363289,326.224367282806,130.489746913122,0.988764968088645,0.561751595567744,34.1809015675334
